MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015_factor,2020_factor,2030_factor,2050_factor,2100_factor
IIASA-WiC POP,SSP3_v9_130115,LBY,0-4,million,0.10682909759854227,0.09878117223001256,0.08366044259594244,0.08167500295263432,0.06909540888527115
IIASA-WiC POP,SSP3_v9_130115,LCA,0-4,million,0.08466521938113143,0.08334510340335184,0.07534086632432106,0.06824989659229422,0.06896413493991642
IIASA-WiC POP,SSP3_v9_130115,LKA,0-4,million,0.08436247272437009,0.08036684786903225,0.07780127713092387,0.07391906708023249,0.07298673159390161
IIASA-WiC POP,SSP3_v9_130115,LSO,0-4,million,0.12326376620971748,0.12543712552507066,0.11828263837977189,0.1063247173489537,0.09316311911474838
IIASA-WiC POP,SSP3_v9_130115,LTU,0-4,million,0.059168467369466994,0.062102659823893465,0.0579964074462354,0.06518969117468955,0.06416172560122292
IIASA-WiC POP,SSP3_v9_130115,LUX,0-4,million,0.052327908598618585,0.049486043050082286,0.0419638611858169,0.03739577359433885,0.03141876109949978
IIASA-WiC POP,SSP3_v9_130115,LVA,0-4,million,0.045361473520225175,0.049253933513400974,0.04834519876650059,0.05475233424628088,0.060840836609370355
IIASA-WiC POP,SSP3_v9_130115,MAR,0-4,million,0.0958354401610231,0.09597995293678394,0.08810942785219175,0.07948740314994604,0.07545783839801154
IIASA-WiC POP,SSP3_v9_130115,MDA,0-4,million,0.05818999874219073,0.05963866748313065,0.05473872275275303,0.05889376676371909,0.06359500301867907
IIASA-WiC POP,SSP3_v9_130115,MDG,0-4,million,0.15159197722122997,0.1501883461130857,0.1376668174068104,0.11105683465303669,0.07798799736405966
IIASA-WiC POP,SSP3_v9_130115,MDV,0-4,million,0.0879161397164152,0.08881350836040801,0.07447948143408367,0.06552663582659941,0.06655413289863704
IIASA-WiC POP,SSP3_v9_130115,MEX,0-4,million,0.09584184978800546,0.09530824202335206,0.09080288500512672,0.08202932084910243,0.06858171717633553
IIASA-WiC POP,SSP3_v9_130115,MKD,0-4,million,0.059004237415054034,0.05841891114721328,0.05510600258886448,0.05630550027554509,0.060465712169936764
IIASA-WiC POP,SSP3_v9_130115,MLI,0-4,million,0.19001029891304688,0.18478485363284142,0.1692568872533415,0.12887200828317097,0.08562269544093536
IIASA-WiC POP,SSP3_v9_130115,MLT,0-4,million,0.05011791856476064,0.05304903228801194,0.05161741492136735,0.054750903203031526,0.0626128130655128
IIASA-WiC POP,SSP3_v9_130115,MMR,0-4,million,0.07901605287382045,0.07871890426868992,0.07589763205532772,0.06952750179624083,0.07822804898326148
IIASA-WiC POP,SSP3_v9_130115,MNE,0-4,million,0.06335959748486555,0.061704807070651124,0.05797078694471127,0.057591422748405036,0.05976833137011228
IIASA-WiC POP,SSP3_v9_130115,MNG,0-4,million,0.10856256897941817,0.10503941849749027,0.08847505992472976,0.08941027388392214,0.07145497570475327
IIASA-WiC POP,SSP3_v9_130115,MOZ,0-4,million,0.15674803523659273,0.1533054564921364,0.1456183218838996,0.11907364983159584,0.09079105478448742
