MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015,2020,2030,2050,2100
IIASA-WiC POP,SSP2_v9_130115,GEO,0-4,million,0.30286805759326346,0.276490483664307,0.2193793233969773,0.20613265655359667,0.13668182812049165
IIASA-WiC POP,SSP2_v9_130115,GHA,0-4,million,3.9295031661025432,4.308852428406536,4.921798844569695,5.537477242434284,4.911124255530065
IIASA-WiC POP,SSP2_v9_130115,GIN,0-4,million,1.80039905483129,1.89802177815416,1.9713790707974712,1.8110346478820756,1.3773294706732127
IIASA-WiC POP,SSP2_v9_130115,GLP,0-4,million,0.03343407228113344,0.034023353925314075,0.03836575600686336,0.037944875591069405,0.037827501835334516
IIASA-WiC POP,SSP2_v9_130115,GMB,0-4,million,0.31897735935432137,0.3389456395724401,0.36490920525377357,0.37645962400963595,0.3358468718838264
IIASA-WiC POP,SSP2_v9_130115,GNB,0-4,million,0.2605333610002566,0.27515036484831157,0.2875696027336665,0.27969577354197284,0.21479166641613628
IIASA-WiC POP,SSP2_v9_130115,GNQ,0-4,million,0.12085784974644377,0.13302761297416651,0.148369844924628,0.1639674310545423,0.1521553201639995
IIASA-WiC POP,SSP2_v9_130115,GRC,0-4,million,0.5392489606569556,0.4799529887475177,0.38776760418431705,0.36075966806370124,0.25889461557699306
IIASA-WiC POP,SSP2_v9_130115,GRD,0-4,million,0.010233907533944063,0.010550081330950326,0.009751270984476198,0.009244957441126512,0.007206378745130017
IIASA-WiC POP,SSP2_v9_130115,GTM,0-4,million,2.320397427765109,2.5321883551186994,2.7229068026842365,2.7591733327715877,2.2784149898944257
IIASA-WiC POP,SSP2_v9_130115,GUF,0-4,million,0.02773272303445321,0.03031054997056579,0.03367803889460807,0.03510515522847191,0.031248682213633975
IIASA-WiC POP,SSP2_v9_130115,GUM,0-4,million,0.01605180219243966,0.017274113235566848,0.018479209726990492,0.018263977091498376,0.015692559532443136
IIASA-WiC POP,SSP2_v9_130115,GUY,0-4,million,0.0667212584728857,0.0724876501987713,0.07515055467099453,0.0578598785714382,0.037929830011128436
IIASA-WiC POP,SSP2_v9_130115,HND,0-4,million,1.0272615005050267,1.106031145113685,1.126122436473103,1.1046452239367532,0.8944000989041048
IIASA-WiC POP,SSP2_v9_130115,HRV,0-4,million,0.22162459390480616,0.22181491178422008,0.21236491806920357,0.2193922011249388,0.18939834138480763
IIASA-WiC POP,SSP2_v9_130115,HTI,0-4,million,1.2722264795883171,1.3172639149103464,1.3097377457676689,1.1829502465538617,0.8696165224183243
IIASA-WiC POP,SSP2_v9_130115,HUN,0-4,million,0.41790161382649943,0.39425754954091224,0.3369560244113301,0.2905154685135146,0.21262999007775593
IIASA-WiC POP,SSP2_v9_130115,IDN,0-4,million,21.488752906157174,21.391076303658892,20.761114174244096,18.106027077340933,13.561220112694139
IIASA-WiC POP,SSP2_v9_130115,IND,0-4,million,135.11621021486624,141.28426781301624,144.49797656568543,147.24393838823772,118.39349727493824
IIASA-WiC POP,SSP2_v9_130115,IRL,0-4,million,0.3398389579838034,0.31470361002598596,0.267074143341092,0.2831760608001485,0.23415371488897213
IIASA-WiC POP,SSP2_v9_130115,IRN,0-4,million,6.832324175819074,6.828347916463935,5.850666379543663,6.042238470710255,4.992176901663532
IIASA-WiC POP,SSP2_v9_130115,IRQ,0-4,million,5.647107185383413,6.27135702664947,7.113946512567815,7.843113801428881,7.604240361286066
IIASA-WiC POP,SSP2_v9_130115,ISL,0-4,million,0.02421606140078756,0.02376192757289814,0.020850608425953102,0.021917120451038913,0.019167167801972404
IIASA-WiC POP,SSP2_v9_130115,ISR,0-4,million,0.8097075602271693,0.8331787630256614,0.8313259314413463,0.9813825175440118,1.1737313122479007
IIASA-WiC POP,SSP2_v9_130115,ITA,0-4,million,2.530199171854732,2.3380360599645917,2.0512972626079673,1.9131985728022851,1.5107351116185737
IIASA-WiC POP,SSP2_v9_130115,JAM,0-4,million,0.2496139945010255,0.2633650572284234,0.2557143634759925,0.22859638118131237,0.15791288368723863
IIASA-WiC POP,SSP2_v9_130115,JOR,0-4,million,0.8070287787960879,0.921046202863681,1.0384437330748597,1.166373593821411,1.0794487694420305
IIASA-WiC POP,SSP2_v9_130115,JPN,0-4,million,5.001503673909254,4.3536285948389315,3.4629372896088966,2.748842269653118,1.5665299311742948
IIASA-WiC POP,SSP2_v9_130115,KAZ,0-4,million,1.6018582428262669,1.5868998085700101,1.439988250848421,1.5380070210742351,1.1964238960483249
IIASA-WiC POP,SSP2_v9_130115,KEN,0-4,million,7.544036063471438,8.293880242395161,9.19343326624153,10.09493853236921,8.56267553117032
IIASA-WiC POP,SSP2_v9_130115,KGZ,0-4,million,0.6118449931995871,0.6126006415253819,0.5618647190216889,0.5214579479119094,0.36280978088949095
IIASA-WiC POP,SSP2_v9_130115,KHM,0-4,million,1.573433093635961,1.6689819347469999,1.596982668493387,1.5209446519127896,1.2155083389071077
IIASA-WiC POP,SSP2_v9_130115,KOR,0-4,million,2.0216197440127512,1.889074921968325,1.6341676409322525,1.1373409347023584,0.684843264283297
IIASA-WiC POP,SSP2_v9_130115,KWT,0-4,million,0.2570838946332642,0.27364483000805084,0.3177838252234832,0.39542817432514543,0.4237914833182816
IIASA-WiC POP,SSP2_v9_130115,LAO,0-4,million,0.7259436085199058,0.7921170687999327,0.7998438586194923,0.7747640465185763,0.6397979532063905
IIASA-WiC POP,SSP2_v9_130115,LBN,0-4,million,0.3269351724203079,0.34353804500894547,0.3499779602291884,0.3284981362900614,0.2784546874123544
IIASA-WiC POP,SSP2_v9_130115,LBR,0-4,million,0.7817507308908523,0.9099923309192502,1.0715062504946846,1.2666367466935087,1.2308508184271272
IIASA-WiC POP,SSP2_v9_130115,LBY,0-4,million,0.7411049279695482,0.7370525022224336,0.6947622590302934,0.7924643239498115,0.6759688098853486
IIASA-WiC POP,SSP2_v9_130115,LCA,0-4,million,0.015461168356605047,0.01585068428826878,0.015229333692693232,0.014536507955766094,0.012427000407380331
IIASA-WiC POP,SSP2_v9_130115,LKA,0-4,million,1.8335962644633863,1.8033051482133724,1.8233257338454025,1.7879580975996294,1.53598719548297
IIASA-WiC POP,SSP2_v9_130115,LSO,0-4,million,0.2802011702291385,0.29718884971578213,0.2981518772051487,0.28350988854111053,0.22782764204027983
IIASA-WiC POP,SSP2_v9_130115,LTU,0-4,million,0.19258829577973444,0.19808002470979288,0.1769299662254568,0.17684207232202132,0.12833771335726943
IIASA-WiC POP,SSP2_v9_130115,LUX,0-4,million,0.02893984811088529,0.02934728909617168,0.0283629967650007,0.031066794045785346,0.029912927899356918
IIASA-WiC POP,SSP2_v9_130115,LVA,0-4,million,0.09907308309861121,0.10460467174556372,0.0976532465787438,0.10048802717692247,0.08269882288874746
IIASA-WiC POP,SSP2_v9_130115,MAR,0-4,million,3.196565210057189,3.3209566545953715,3.204250458563825,2.9471039059949273,2.3300535181101787
IIASA-WiC POP,SSP2_v9_130115,MDA,0-4,million,0.19640905853069898,0.190662827374581,0.1559800711286079,0.1284593986589276,0.07036304262290789
IIASA-WiC POP,SSP2_v9_130115,MDG,0-4,million,3.5969091584405795,4.035342525314698,4.580161162417445,5.009938370784224,4.605494696351632
IIASA-WiC POP,SSP2_v9_130115,MDV,0-4,million,0.029783275214493962,0.032179630228747556,0.03001188856881827,0.02997112542912164,0.02744212039428881
IIASA-WiC POP,SSP2_v9_130115,MEX,0-4,million,11.498392081895917,12.026256458894062,12.417046102494025,12.199321382398836,9.811698145887819
IIASA-WiC POP,SSP2_v9_130115,MKD,0-4,million,0.12348593816084211,0.12424188823117042,0.12101573362122493,0.13010477029050396,0.11974478205231379
IIASA-WiC POP,SSP2_v9_130115,MLI,0-4,million,3.3771501894599396,3.7592795648441304,4.36358049807777,4.627819742367272,4.1219270602221325
IIASA-WiC POP,SSP2_v9_130115,MLT,0-4,million,0.02130294994305469,0.02298000999416189,0.022938208451641778,0.02425878473919577,0.02331936267938995
IIASA-WiC POP,SSP2_v9_130115,MMR,0-4,million,3.887096866382821,3.948809100687195,3.8780883240053625,3.3810025797064265,2.852748836515616
IIASA-WiC POP,SSP2_v9_130115,MNE,0-4,million,0.040626086689186325,0.04020989052851179,0.03880340769348317,0.039642890689912016,0.03438088203623913
IIASA-WiC POP,SSP2_v9_130115,MNG,0-4,million,0.32119009961342715,0.33007149936250046,0.3017497987416509,0.3366128649914019,0.2583143067475776
IIASA-WiC POP,SSP2_v9_130115,MOZ,0-4,million,4.0739749175159305,4.39040811266038,4.922116638520638,5.035998362771752,4.5571754047699775
IIASA-WiC POP,SSP2_v9_130115,MRT,0-4,million,0.5342428617687799,0.5743362246811033,0.630876068445464,0.6539344052041862,0.5889700273158629
IIASA-WiC POP,SSP2_v9_130115,MTQ,0-4,million,0.027115767124402928,0.028027985002783817,0.02992775479349374,0.030515145474509134,0.029603064460246187
IIASA-WiC POP,SSP2_v9_130115,MUS,0-4,million,0.08031699606840287,0.08749199146506341,0.09488293551573733,0.0947157107967976,0.09524145848352489
IIASA-WiC POP,SSP2_v9_130115,MWI,0-4,million,3.1903779538868586,3.719012667319681,4.759858457124611,6.344305835952829,6.5783693985547265
IIASA-WiC POP,SSP2_v9_130115,MYS,0-4,million,2.9829786596892647,3.184258077278164,3.4737297518276558,3.5065919573524598,3.050320707565513
IIASA-WiC POP,SSP2_v9_130115,MYT,0-4,million,0.03280318066037329,0.03431891378719713,0.041771080189339754,0.04468352158378089,0.04460706691151912
IIASA-WiC POP,SSP2_v9_130115,NAM,0-4,million,0.28947204300350354,0.3089397577804603,0.32694747491198073,0.3215583133349965,0.2780549149691508
IIASA-WiC POP,SSP2_v9_130115,NCL,0-4,million,0.022257793589719913,0.02364028648484839,0.02512373908909438,0.028000679258663064,0.02962430929754483
IIASA-WiC POP,SSP2_v9_130115,NER,0-4,million,3.6857981149667647,4.408495834089045,5.9496826236074245,8.865835033198119,9.559519520582697
IIASA-WiC POP,SSP2_v9_130115,NGA,0-4,million,30.483854439770415,34.67117501117821,43.614299261788986,57.149287074287805,55.815585256818885
IIASA-WiC POP,SSP2_v9_130115,NIC,0-4,million,0.7013566092699904,0.7224459590689242,0.7003453037891044,0.6181855909574359,0.4464926552668817
IIASA-WiC POP,SSP2_v9_130115,NLD,0-4,million,0.8718507360957604,0.846224917614805,0.8018242302538846,0.7333593356932826,0.6278299427979293
IIASA-WiC POP,SSP2_v9_130115,NOR,0-4,million,0.2984536052754974,0.3020601520629001,0.29293962400755696,0.30293845417453447,0.2903889524849725
