scenario,GCAMRegion,GHG,2020,2030,2050,2100
Efficiency,Colombia,BC,0.041851793,0.040407887,0.034283704,0.017576841
Efficiency,Colombia,CH4,4.369647295,4.26176652,4.498586605,3.7087845450000003
Efficiency,Colombia,CO,4.604465735000001,4.2587786240000005,3.017171045,2.3207729440000002
Efficiency,Colombia,NH3,0.479353698,0.560078962,0.695261283,0.775928894
Efficiency,Colombia,NMVOC,1.147804441,1.150365028,0.985155998,0.870903835
Efficiency,Colombia,NOx,0.594515498,0.581242181,0.540658398,0.371863241
Efficiency,Colombia,OC,0.14789987300000002,0.167260013,0.143991176,0.07602249
Efficiency,Colombia,PM,0.257534149,0.283630473,0.243620146,0.128046834
Efficiency,Colombia,SO2,0.18069604,0.159803939,0.090181968,0.039973189
Efficiency,EU-12,BC,0.059139079,0.049643709,0.028306116,0.013153664
Efficiency,EU-12,CH4,5.603445387,4.57489603,4.071098754,2.2954936370000003
Efficiency,EU-12,CO,4.819442657,3.323065613,1.683210186,0.8687800729999999
Efficiency,EU-12,NH3,1.02937366,1.077479697,1.0730690920000001,0.999145867
Efficiency,EU-12,NMVOC,1.462480219,1.265435557,1.0813638429999999,0.8697265
Efficiency,EU-12,NOx,1.617793946,1.194540838,0.872509256,0.595291836
Efficiency,EU-12,OC,0.250204284,0.298860787,0.144803874,0.038366080999999996
Efficiency,EU-12,PM,0.422845111,0.48197900600000004,0.23820582199999998,0.069332698
Efficiency,EU-12,SO2,1.127371759,0.584909965,0.267292303,0.066074805
Efficiency,EU-15,BC,0.121429855,0.090903054,0.046649118999999996,0.029780736000000002
Efficiency,EU-15,CH4,17.59421105,15.089551721000001,15.57529769,13.743620651
Efficiency,EU-15,CO,10.701654791,9.633615122,4.838586855,4.103490668
Efficiency,EU-15,NH3,3.723810615,4.136336852,5.037447026,5.565890854
Efficiency,EU-15,NMVOC,4.476171094,3.816062474,3.8089536920000002,4.662061842
Efficiency,EU-15,NOx,7.368261444,4.5532821519999995,2.775791335,2.313933487
Efficiency,EU-15,OC,0.265571328,0.291582001,0.09627337300000001,0.048273992
Efficiency,EU-15,PM,0.513339839,0.516955621,0.188984956,0.10179072900000001
Efficiency,EU-15,SO2,1.207674404,0.752040622,0.378810963,0.227797199
Efficiency,Europe_Eastern,BC,0.045428299,0.042641781,0.029401751,0.014944658
Efficiency,Europe_Eastern,CH4,6.251983528,5.632898653,7.418951177,3.345018934
Efficiency,Europe_Eastern,CO,4.622655544,3.885594626,2.278061278,1.5890366200000001
Efficiency,Europe_Eastern,NH3,0.786798585,0.801300267,0.770497855,0.7156656570000001
Efficiency,Europe_Eastern,NMVOC,1.576211231,1.445141003,1.257866717,1.17685573
Efficiency,Europe_Eastern,NOx,0.96273267,0.830102949,0.6607396019999999,0.403925764
