region,Categories,GHG,2020,2030,2050,2100
Africa_Southern,residential commercial,NMVOC,1.339386353,1.533704563,1.392298652,0.484224529
Africa_Southern,residential commercial,NOx,0.115961928,0.127208261,0.108350597,0.036107772
Africa_Southern,residential commercial,OC,0.484226424,0.529777787,0.380485148,0.06241465
Africa_Southern,residential commercial,SO2,0.03447939,0.036306935,0.032523072,0.011181188
Africa_Southern,transportation,BC,0.018264023,0.016850381,0.016116978,0.030299281
Africa_Southern,transportation,CH4,0.005035433,0.004582293,0.005685322,0.013489335
Africa_Southern,transportation,CO,1.658879466,1.484298728,1.801958557,4.19354015
Africa_Southern,transportation,NH3,5.38E-04,5.64E-04,9.64E-04,0.003638294
Africa_Southern,transportation,NMVOC,0.340378759,0.306062102,0.36728478,0.837093069
Africa_Southern,transportation,NOx,0.341510622,0.301659111,0.295389525,0.522598584
Africa_Southern,transportation,OC,0.006239951,0.005762382,0.005664563,0.011132751
Africa_Southern,transportation,SO2,0.038772574,0.034591687,0.029193436,0.045242889
Africa_Southern,wildfire,BC,0.311248397,0.307664678,0.310140851,0.311218645
Africa_Southern,wildfire,CH4,1.662131471,1.613159883,1.626143459,1.631794539
Africa_Southern,wildfire,CO,53.05381665,52.38618288,52.80781667,52.99133413
Africa_Southern,wildfire,NH3,0.445147079,0.432393748,0.435873907,0.437388652
Africa_Southern,wildfire,NMVOC,9.496502115,9.342773904,9.417967989,9.450698596
Africa_Southern,wildfire,NOx,3.242978107,3.242951417,3.269052429,3.280412517
Africa_Southern,wildfire,OC,2.217211479,2.178597652,2.196132014,2.203763769
Africa_Southern,wildfire,SO2,0.400244879,0.399131981,0.402344412,0.403742637
Africa_Western,agriculture,BC,0.020416024,0.022224479,0.019969292,0.013566621
Africa_Western,agriculture,CH4,6.903737726,7.658626599,8.837451651,11.76173546
Africa_Western,agriculture,CO,11.62713214,12.60125727,11.11148202,8.497254208
Africa_Western,agriculture,NH3,1.338228519,1.540990317,1.830578016,2.453399925
