GCAMRegion,Country,Series Name,Country Code,2022 [YR2022]
Central America and Caribbean,Saint Lucia,GDP (current US$),LCA,2343703788
Central America and Caribbean,Saint Vincent and the Grenadines,GDP (current US$),VCT,966492592.6
EU-12,Slovakia,GDP (current US$),SVK,1.16E+11
South Korea,South Korea,GDP (current US$),KOR,1.67E+12
Southeast Asia,Fiji,GDP (current US$),FJI,4979979531
Southeast Asia,French Polynesia,GDP (current US$),PYF,5814661209
Southeast Asia,Guam,GDP (current US$),GUM,6910000000
Southeast Asia,Kiribati,GDP (current US$),KIR,270520731.6
Southeast Asia,Malaysia,GDP (current US$),MYS,4.07E+11
Southeast Asia,Marshall Islands,GDP (current US$),MHL,258774475.1
Southeast Asia,Myanmar,GDP (current US$),MMR,62253049892
Southeast Asia,Nauru,GDP (current US$),NRU,153824609.5
Southeast Asia,New Caledonia,GDP (current US$),NCL,9623318718
Southeast Asia,Timor Leste,GDP (current US$),TLS,3204753000
Southeast Asia,Palau,GDP (current US$),PLW,242333709.7
Southeast Asia,Papua New Guinea,GDP (current US$),PNG,31603619037
Southeast Asia,Philippines,GDP (current US$),PHL,4.04E+11
Europe_Non_EU,Turkey,GDP (current US$),TUR,9.07E+11
Southeast Asia,Samoa,GDP (current US$),WSM,832945205.6
Southeast Asia,Seychelles,GDP (current US$),SYC,2057968520
Southeast Asia,Singapore,GDP (current US$),SGP,4.98E+11
Southeast Asia,Solomon Islands,GDP (current US$),SLB,1566360686
Southeast Asia,Thailand,GDP (current US$),THA,4.96E+11
Southeast Asia,Tonga,GDP (current US$),TON,500274898.1
Southeast Asia,Tuvalu,GDP (current US$),TUV,59065982.09
Southeast Asia,Vanuatu,GDP (current US$),VUT,1022219298
Southeast Asia,Viet Nam,GDP (current US$),VNM,4.10E+11
USA,United States,GDP (current US$),USA,2.57E+13
