GCAM_REG,Pollutant,AGG_SEC,MC (million Euros per kt),Delta EM (kt),EM (kt),CUM_REDUCTIONS (kt)
Africa_Northern,PM,Industry,-39.314,-21.3419768,0,-21.3419768
Africa_Northern,PM,Industry,0.037,-21.1800206,0,-42.5219974
Africa_Northern,PM,Industry,0.065,-28.7321873,0,-71.2541847
Africa_Northern,PM,Industry,0.079,-41.0072936,0,-112.2614783
Africa_Northern,PM,Industry,1.008,-11.2776377,0,-123.539116
Africa_Northern,PM,Industry,1.102,-7.1283708,0,-130.6674868
Africa_Northern,PM,Industry,5.708,-15.5133687,0,-146.1808555
Africa_Northern,PM,Industry,9.668,-5.2619273,0,-151.4427828
Africa_Northern,PM,Industry,127.452,-9.2553716,0,-160.6981544
Africa_Northern,PM,Industry,,0,207.5934951,-160.6981544
Africa_Northern,PM,Power,0.582,-0.0601438,0,-0.0601438
Africa_Northern,PM,Power,0.585,-0.1083946,0,-0.1685384
Africa_Northern,PM,Power,4.647,-0.9768055,0,-1.1453439
Africa_Northern,PM,Power,6.252,-0.2780558,0,-1.4233997
Africa_Northern,PM,Power,,0,1.7269644,-1.4233997
Africa_Northern,PM,Residential/Commercial,0,-0.5741708,0,-0.5741708
Africa_Northern,PM,Residential/Commercial,1.25,-0.4068761,0,-0.9810469
Africa_Northern,PM,Residential/Commercial,7.422,-2.44231,0,-3.4233569
Africa_Northern,PM,Residential/Commercial,8.951,-0.441744,0,-3.8651009
Africa_Northern,PM,Residential/Commercial,62.798,-4.8620188,0,-8.7271197
Africa_Northern,PM,Residential/Commercial,,0,18.3921631,-8.7271197
Africa_Northern,PM,Transport,0.09,-22.7423191,0,-22.7423191
Africa_Northern,PM,Transport,0.114,-9.5343157,0,-32.2766348
Africa_Northern,PM,Transport,0.119,-30.0132049,0,-62.2898397
Africa_Northern,PM,Transport,0.353,-20.6596545,0,-82.9494942
Africa_Northern,PM,Transport,1.838,-38.8944901,0,-121.8439843
Africa_Northern,PM,Transport,5.253,-20.8294093,0,-142.6733936
Africa_Northern,PM,Transport,48.797,-34.5597532,0,-177.2331468
Africa_Northern,PM,Transport,55.799,-50.5413672,0,-227.774514
Africa_Northern,PM,Transport,82.706,-34.54805,0,-262.322564
Africa_Northern,PM,Transport,,0,369.6481421,-262.322564
Africa_Northern,PM,Waste,-171.357,-6.9470859,0,-6.9470859
Africa_Northern,PM,Waste,0,-0.4983554,0,-7.4454413
Africa_Northern,PM,Waste,12.526,-10.7797154,0,-18.2251567
Africa_Northern,PM,Waste,13.027,-10.0001292,0,-28.2252859
Africa_Northern,PM,Waste,312.887,-0.7227249,0,-28.9480108
Africa_Northern,PM,Waste,,0,36.4379839,-28.9480108
Africa_Northern,SO2,ALL,,0,477.3303678,0
Africa_Northern,SO2,Agriculture,1.263,-4.0136341,0,-4.0136341
Africa_Northern,SO2,Agriculture,,0,5.3515122,-4.0136341
Africa_Northern,SO2,Industry,-2871.038,-0.2922406,0,-0.2922406
Africa_Northern,SO2,Industry,0.127,-32.110659,0,-32.4028996
Africa_Northern,SO2,Industry,0.202,-22.1656066,0,-54.5685062
Africa_Northern,SO2,Industry,0.249,-13.5692963,0,-68.1378025
Africa_Northern,SO2,Industry,0.575,-29.8314589,0,-97.9692614
Africa_Northern,SO2,Industry,0.877,-27.7906453,0,-125.7599067
Africa_Northern,SO2,Industry,0.966,-23.7171458,0,-149.4770525
Africa_Northern,SO2,Industry,1.058,-12.4869825,0,-161.964035
Africa_Northern,SO2,Industry,1.571,-31.6826333,0,-193.6466683
Africa_Northern,SO2,Industry,2.198,-33.4842092,0,-227.1308775
Africa_Northern,SO2,Industry,10.876,-26.1078327,0,-253.2387102
Africa_Northern,SO2,Industry,,0,371.5902118,-253.2387102
Africa_Northern,SO2,Power,0.467,-11.3186023,0,-11.3186023
Africa_Northern,SO2,Power,0.54,-5.6935635,0,-17.0121658
Africa_Northern,SO2,Power,0.604,-19.9123133,0,-36.9244791
