GCAM_REG,Pollutant,AGG_SEC,MC (million Euros per kt),Delta EM (kt),GAINS_EM_2030(kt),GAINS_CUM_REDUCTIONS_2030(kt),REF2020,REF2030,REF2050,REF2100,Efficiency2030,Efficiency2050,Efficiency2100,Equity2030,Equity2050,Equity2100
Argentina,NOX,Transport,NA,0,460.9890346,-200.1789155,574.7181426699999,465.745995704,388.90477634999996,564.845981976,444.04157349899987,341.69650526299995,181.55485908149998,455.5788131289989,337.41110209,111.22152288869992
Argentina,PM,Agriculture,NA,0,82.9955336,-55.1938694,113.34962424902425,85.64512184082997,58.51967719794977,63.751538211883535,84.48752487191905,49.35810564354732,38.11958871767306,86.71565221415194,54.17461312563883,45.936543785748874
Argentina,PM,Industry,NA,0,25.6835039,-19.3046908,13.633666823189591,16.9642276699764,19.65099824662609,18.74379788241257,18.03163517735359,22.07507114772751,4.52121667476192,16.712580401347598,14.599393359800889,2.28531474326001
Argentina,PM,Power,NA,0,0.3879644,-0.3155578,1.9545318319229898,1.679566123906,1.308736262196,1.627735243607,1.55293765753279,0.6806199120599988,0.3227295433961497,1.47530581002749,0.6095894257375999,0.3972300322094499
Argentina,PM,Residential/Commercial,NA,0,2.6968812,-0.8721939,42.2574441421,27.9792131674,21.5883911474,17.8937785708,30.817729883600002,21.045379516700002,17.64790961274,27.367353288,20.414790082499998,17.64556341339
Argentina,PM,Transport,NA,0,33.8852619,-10.4793567,22.93913307069999,19.0139851385,17.3018112663,26.293447326299997,18.29519365189999,15.3009692638,8.12377706029998,18.6784714688,15.117307955200001,4.7869756539
Argentina,SO2,Agriculture,NA,0,6.9200748,-5.1900561,9.339071588054988,8.41912147064299,6.54016906468698,6.07468709091198,8.08406417559699,5.81072340721897,2.22953994142699,8.41699536065299,6.08727974667799,2.04301882336999
Argentina,SO2,Industry,NA,0,43.3676495,-26.4390985,58.857248961084,51.169000952531,40.53336975371999,25.70759425338799,49.543795363796,37.843922261803996,19.97296840765499,50.391381903680994,37.6550098918,19.16785777381799
Argentina,SO2,Power,NA,0,2.1970358,-1.0683562,66.36031316999991,45.12947942,28.987648844999992,22.64800468,34.6444447759999,22.08031033699999,18.36612200026399,37.97305352,19.15415134719999,15.486554323791989
Argentina,SO2,Residential/Commercial,NA,0,1.9952088,-0.0733256,9.44269272,6.153438990000001,3.44857037,1.824993428,6.1962434900000005,3.2660745529999997,1.1869266326,6.2338359,3.0631091759999998,1.1548498038
Argentina,SO2,Transport,NA,0,26.8773993,-15.5171393,27.01184795834,21.01852601662998,12.96334017456,18.85704242305,19.24762512854999,10.39928266309998,5.438695165059991,20.20595149442999,10.066875685219989,3.758249226002
Argentina,VOC,Agriculture,NA,0,585.6991364,-73.179791,212.31424302088598,168.36952269126195,126.71784827701096,137.2789009280889,165.84565870445385,111.18874676220496,92.12493078536386,170.33219002634587,120.09170501033788,107.99909683859967
