GCAMRegion,Country,Country Code,total_cost_2030,total_cost_2050,total_cost_2100,Country Income Classification,2030PM,2050PM,2100PM
Africa_Western,Mali,MLI,0,25.13232672332538,21.45358133020941,Low,-0.008461799999999187,0.039288150000000854,0.011669149999999462
Africa_Western,Mauritania,MRT,1.6197628140736575,13.039732866979998,11.131041413938181,Lower_Middle,0.010756941176467194,0.024184470588238582,0.0081365882352884
Africa_Western,Niger,NER,2.5655869582942126,20.653992234225328,17.63076324243479,Low,0.014516190476193458,0.023219047619051025,0.008659523809519953
Africa_Western,Nigeria,NGA,0,632.9811816328146,540.328534247817,Lower_Middle,-0.31506499999999704,0.29453900000000033,0.14459453846153636
Africa_Western,Sao Tome and Principe,STP,0.09021147572971072,0.7262381472340581,0.6199350075425465,Lower_Middle,0.010587999999998488,0.1449820000000006,0.020768000000000342
Africa_Western,Senegal,SEN,4.591217539358886,36.96112154647269,31.55093580798747,Lower_Middle,0.020708333333335105,0.08399266666666705,0.019077333333331836
Africa_Western,Sierra Leone,SLE,0,5.479454270065196,4.677398918218933,Low,-0.002661999999999054,0.17709900000000012,0.03341099999999919
Argentina,Argentina,ARG,23.49607873833496,0,0,Upper_Middle,0.03162512000000017,-0.017681080000000016,-0.03582996000000005
Australia_NZ,Australia,AUS,0,531.6294334752006,1508.999431634222,High,-0.004545635714285012,0.01473279999999999,0.015328635714285
Australia_NZ,New Zealand,NZL,0,0,0,High,6.63333333332794e-5,-0.017865666666666336,-0.016815166666666492
Brazil,Brazil,BRA,54.32804585259612,0,0,Upper_Middle,0.05069972222222274,-0.007410784722222452,-0.049869354166666824
Canada,Canada,CAN,462.9673177460511,0,0,High,0.006975514619882883,-0.09154678070175448,-0.19251946491228056
EU-12,Czech Republic,CZE,0,0,0,High,-1.1079559999999997,-1.6625086666666666,-1.0915876666666673
Southeast Asia,Democratic Peoples Republic of Korea,PRK,232.1991526199805,0,0,Low,0.22007900000000546,-0.7059763333333322,-0.8002113333333334
Africa_Western,Democratic Republic of the Congo,COD,10.938266391397425,88.05738132299264,75.16797838636899,Low,0.04367771052631575,0.42229881578947115,0.1360562894736841
Central America and Caribbean,Barbados,BRB,0.4954149236050121,0,0,High,0.003731000000000151,-2.7099999999968816e-4,-0.005595000000000017
Central America and Caribbean,Belize,BLZ,0.24008800466416194,0,0,Upper_Middle,0.017374000000000223,-7.220000000001114e-4,-0.0030569999999996433
