lat,lon,REF2020,REF2030,REF2050,REF2100,Welfare2030,Welfare2050,Welfare2100,Cost2030,Cost2050,Cost2100,Impact2030,Impact2050,Impact2100
-89.5,-137.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-135,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-132.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-130,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-127.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-125,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-122.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-120,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-117.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-115,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-112.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-110,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-107.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-105,0.760384,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-102.5,0.760384,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-100,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-97.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-95,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-92.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-90,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-87.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-85,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-82.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-80,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-77.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-75,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-72.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-70,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
-89.5,-67.5,0.760383,0.758947,0.76034,0.760937,0.756484,0.754648,0.75297,0.755641,0.754083,0.752447,0.757157,0.75605,0.753818
