,eta=1,eta=1.5,eta=2,eta=2.5,eta=3
PHL,1945924.884836745,2822290.154702538,4227868.181727933,6575912.02597672,10662076.37196176
PNG,101151.21655601807,127113.43337107178,157770.85686938395,190734.31037518563,218003.20583879558
POL,567402.1527841239,361618.000492745,235705.53179115546,156869.4974584396,106405.32280714945
PRT,-134703.63795452804,-70158.84437889935,-37048.7711165315,-19850.562689171893,-10797.936235551244
PRY,-3642.2252052836,-7188.063004202726,-10556.914895399015,-13923.350767428732,-17469.178985952036
QAT,25380.255876682826,6163.094034976501,1512.7047928827542,375.79774474234716,94.61518631841
ROU,776544.7916538137,489666.4168988278,319941.11617335747,216272.75753707084,150867.33064523197
RUS,106179.4133355888,18495.466026137583,-22280.968688371082,-38157.09244407661,-41381.74348448904
RWA,322090.7753107819,503041.17871594854,934207.7284543446,2042121.3694507584,5048265.015879271
SAU,274213.3762134703,122267.55618956454,54955.41377958897,24936.384237692793,11441.938186312358
SDN,930266.6123735977,1279823.1122327547,2164461.7309991936,4472580.37894067,10720659.091289977
SEN,5846.841481190955,7452.926828023559,16666.930764851048,36695.18657489461,74099.60917404534
SGP,-172.69061738802444,1729.0198504337282,1126.677759844034,560.5953412232806,254.1489674175648
SLB,1774.421221908789,1979.6911711772595,873.8844158533968,-4659.090592432789,-23417.293097179212
SLE,143245.7054907509,229899.74104614262,442505.76620057324,1024916.752995921,2743002.486872958
SLV,35587.56099434648,35851.92972416996,38741.92413131745,44273.568355979725,52839.96062475052
SOM,73691.65468404008,122125.45203510152,250748.3197031313,602747.7393359661,1596797.460037008
SRB,2415749.665915636,1634315.038710245,1138134.5807620615,818719.1847461782,610095.4108122624
STP,-157.93012531796762,-19.147036291246465,77.64110617121145,157.74455585719048,238.1797500984081
SUR,-3266.244145004279,-1137.3125879630118,-408.21186372507736,-151.47437201860802,-58.23141150427461
SVK,135956.09579452948,79526.45171939528,47542.93812033763,29029.649146443993,18084.923082372366
SVN,10695.155518227053,5717.690706489217,3107.232890422396,1715.57302155115,961.5353668159548
SWE,-299642.857663253,-113353.47500282082,-43046.089708769694,-16413.21210115692,-6285.053630881697
TCD,116650.8470486165,142695.20978418525,203761.92661175597,354956.8348423465,738808.0578671067
THA,740409.8230823326,752998.5628094083,822333.7330117855,958467.5142201938,1181329.5267785431
TJK,401599.2572148539,656076.6467048791,1091624.0862918147,1856021.0432630465,3236155.3113057273
TKM,76076.49695683511,49229.3941782856,32549.888850495812,22054.838510788974,15356.36945589689
TLS,49477.0179142063,92181.6663160214,172288.95207578706,322851.8211268,605877.15442598
TON,-668.8629256559789,-750.7451742168106,-882.0664753493019,-1091.2203468553407,-1427.378102074551
TTO,-6094.74712578337,-2067.3599470146137,-747.3816435971235,-290.9311424006446,-123.08294136832352
TUN,352371.7445830618,298250.858297285,261092.6913850709,236958.5430362289,222966.69574673564
TUR,1326178.3566583202,843460.5168373883,552163.7146294693,372013.4572074811,257670.19203749378
TZA,286184.78927839216,-78399.1919476714,-1022644.6315092982,-3459490.5941242315,-9782452.433991674
UGA,2690107.16928037,4316567.775003555,7802599.932796261,16196001.417122453,38310585.3518041
UKR,1681113.2271245893,1861819.8294811489,2150032.8464818224,2595919.9729937874,3278332.905142223
URY,4984.286942853352,4022.0121323249805,2840.930987810077,1906.2030838360185,1253.443922749439
USA,-20337073.725298904,-8361540.067776645,-3448473.2165880646,-1426773.6484432216,-592260.7655134725
UZB,1245219.26646235,1567488.2820931866,2027653.7654522262,2703650.1891499734,3724747.3899454516
VCT,-451.39693530712015,-247.4572323878468,-140.7474390161554,-83.73160979054587,-52.70968323100159
VNM,6670822.362893915,8026199.931838219,10317976.909475092,14206618.334789852,20891778.5916769
VUT,2760.3011629992334,3948.178742966197,5680.941969303837,8228.978914695314,12006.951317374274
WSM,-989.5040541812406,-1097.9429840004907,-1283.733976999758,-1591.9934494910442,-2102.4676922449557
ZAF,-200949.1057673807,-133733.19969762428,-85405.91184427541,-50026.5881390359,-23518.531496688534
ZMB,-114619.00700883608,-271943.3787866201,-592714.993087948,-1276360.8784460023,-2777446.2273015673
ZWE,-77141.94634368841,-98823.62169060887,-139161.82463140678,-211419.57435612622,-339613.90535042045
