GCAMRegion,Country,Series Name,Country Code,2022 [YR2022],MitigationCost_Efficiency2030 (2022millionUS$),MitigationCost_Efficiency2050 (2022millionUS$),MitigationCost_Efficiency2100 (2022millionUS$),MitigationCost_Equity2030 (2022millionUS$),MitigationCost_Equity2050 (2022millionUS$),MitigationCost_Equity2100 (2022millionUS$),GDP2030 (2022millionUS$),GDP2050 (2022millionUS$),GDP2100 (2022millionUS$),factor
Middle East,Israel,GDP (current US$),ISR,525000000000,1325,15718,117606,427,7636,121509,845638,1470207,3605471,0.1504285450661406
Middle East,Jordan,GDP (current US$),JOR,48653381831,123,1457,10899,40,708,11261,78368,136249,334130,0.013940680840732817
Middle East,Kuwait,GDP (current US$),KWT,183000000000,462,5479,40994,149,2662,42355,294765,512472,1256764,0.05243509285162615
Middle East,Lebanon,GDP (current US$),LBN,20992421949,53,628,4703,17,305,4859,33813,58787,144167,0.006014970459433495
Middle East,Oman,GDP (current US$),OMN,115000000000,290,3443,25761,93,1673,26616,185235,322045,789770,0.03295101463353556
Middle East,Qatar,GDP (current US$),QAT,236000000000,595,7066,52867,192,3433,54621,380134,660893,1620745,0.06762121263925558
Middle East,Saudi Arabia,GDP (current US$),SAU,1110000000000,2801,33233,248652,902,16145,256905,1787920,3108437,7622997,0.3180489238541258
Middle East,United Arab Emirates,GDP (current US$),ARE,507000000000,1279,15179,113574,412,7374,117343,816645,1419800,3481855,0.1452709949495872
Pakistan,Pakistan,GDP (current US$),PAK,375000000000,1577,21813,234423,12,705,63737,566832,1452120,7808864,1
South Africa,South Africa,GDP (current US$),ZAF,405000000000,3589,29598,113060,676,14143,114260,862667,1462339,3125763,1
South America_Northern,Guyana,GDP (current US$),GUY,14718388489,981,7507,42577,118,719,11294,168238,288846,700876,0.802556646538448
South America_Northern,Suriname,GDP (current US$),SUR,3620987993,241,1847,10475,29,177,2779,41390,71061,172428,0.197443353461552
South America_Southern,Bolivia,GDP (current US$),BOL,44008282880,91,1326,8909,20,569,9047,81330,143457,356239,0.053595050541196544
South America_Southern,Chile,GDP (current US$),CHL,302000000000,622,9099,61138,141,3902,62087,558113,984453,2444635,0.36778770277349565
South America_Southern,Ecuador,GDP (current US$),ECU,117000000000,241,3525,23686,54,1512,24053,216222,381394,947094,0.14248728882284434
South America_Southern,Paraguay,GDP (current US$),PRY,41952910858,86,1264,8493,20,542,8625,77531,136757,339601,0.05109193612293067
South America_Southern,Peru,GDP (current US$),PER,246000000000,507,7411,49801,115,3179,50574,454622,801905,1991325,0.2995886585505958
South America_Southern,Uruguay,GDP (current US$),URY,70164683290,145,2114,14204,33,907,14425,129668,228721,567970,0.085449363188937
South Asia,Afghanistan,GDP (current US$),AFG,14502158192,55,497,5989,1,30,3210,22859,53263,249179,0.024214704118878504
South Asia,Bangladesh,GDP (current US$),BGD,460000000000,1734,15759,189973,27,966,101826,725085,1689477,7903798,0.7680762923154929
South Asia,Bhutan,GDP (current US$),BTN,2898227713,11,99,1197,0,6,642,4568,10645,49798,0.004839260861058805
South Asia,Maldives,GDP (current US$),MDV,6170638746,23,211,2548,0,13,1366,9727,22663,106025,0.010303307237491309
South Asia,Nepal,GDP (current US$),NPL,41182939601,155,1411,17008,2,86,9116,64916,151256,707612,0.06876443381606297
South Asia,Sri Lanka,GDP (current US$),LKA,74144875098,279,2540,30621,4,156,16413,116873,272318,1273970,0.12380200165101556
Russia,Russia,GDP (current US$),RUS,2270000000000,15062,88575,410763,6024,88726,436611,3359955,4766406,7851178,1
Southeast Asia,American Samoa,GDP (current US$),ASM,871000000,2,26,152,0,5,124,954,1800,4831,2.1351651096086704e-4
Southeast Asia,Brunei Darussalam,GDP (current US$),BRN,16681536467,42,493,2903,3,98,2372,18262,34474,92516,0.004089303632491744
Southeast Asia,Cambodia,GDP (current US$),KHM,29504829319,75,873,5134,5,174,4196,32301,60975,163635,0.007232799325704678
Central America and Caribbean,Saint Kitts and Nevis,GDP (current US$),KNA,981429629.6,2,28,246,0,4,193,1673,3101,9938,0.0017876304935682164
Central America and Caribbean,Saint Lucia,GDP (current US$),LCA,2343703788,4,67,586,0,10,461,3994,7406,23732,0.004268952386354709
Central America and Caribbean,Saint Vincent and the Grenadines,GDP (current US$),VCT,966492592.6,2,28,242,0,4,190,1647,3054,9787,0.0017604233438965283
EU-12,Slovakia,GDP (current US$),SVK,116000000000,304,2420,7058,268,4291,13903,199990,279554,456366,0.060404862457079676
South Korea,South Korea,GDP (current US$),KOR,1670000000000,3407,22468,71396,7612,63801,261196,2817226,3791446,4628826,1
Southeast Asia,Fiji,GDP (current US$),FJI,4979979531,13,147,867,1,29,708,5452,10292,27619,0.0012207897291798566
Southeast Asia,French Polynesia,GDP (current US$),PYF,5814661209,15,172,1012,1,34,827,6366,12017,32248,0.001425403184575404
Southeast Asia,Guam,GDP (current US$),GUM,6910000000,18,204,1202,1,41,983,7565,14280,38323,0.0016939139962567065
Southeast Asia,Kiribati,GDP (current US$),KIR,270520731.6,1,8,47,0,2,38,296,559,1500,6.631531889071547e-5
Southeast Asia,Malaysia,GDP (current US$),MYS,407000000000,1035,12037,70821,65,2399,57883,445567,841109,2257237,0.09977177951902742
Southeast Asia,Marshall Islands,GDP (current US$),MHL,258774475.1,1,8,45,0,2,37,283,535,1435,6.343584735830283e-5
Southeast Asia,Myanmar,GDP (current US$),MMR,62253049892,158,1841,10833,10,367,8854,68152,128653,345258,0.01526068198577798
Southeast Asia,Nauru,GDP (current US$),NRU,153824609.5,0,5,27,0,1,22,168,318,853,3.7708489001558944e-5
Southeast Asia,New Caledonia,GDP (current US$),NCL,9623318718,24,285,1675,2,57,1369,10535,19888,53371,0.0023590556102546087
Southeast Asia,Timor Leste,GDP (current US$),TLS,3204753000,8,95,558,1,19,456,3508,6623,17774,7.856115718155815e-4
Southeast Asia,Palau,GDP (current US$),PLW,242333709.7,1,7,42,0,1,34,265,501,1344,5.940556622657591e-5
Southeast Asia,Papua New Guinea,GDP (current US$),PNG,31603619037,80,935,5499,5,186,4495,34598,65312,175275,0.007747295603348653
Southeast Asia,Philippines,GDP (current US$),PHL,404000000000,1028,11949,70299,64,2381,57456,442283,834909,2240599,0.09903636099677415
Europe_Non_EU,Turkey,GDP (current US$),TUR,907000000000,2618,22995,100248,1421,26737,165490,2314157,3732572,7625996,0.8201073354900151
Southeast Asia,Samoa,GDP (current US$),WSM,832945205.6,2,25,145,0,5,118,912,1721,4620,2.04187777406767e-4
Southeast Asia,Seychelles,GDP (current US$),SYC,2057968520,5,61,358,0,12,293,2253,4253,11414,5.04489389274052e-4
Southeast Asia,Singapore,GDP (current US$),SGP,498000000000,1267,14729,86656,79,2935,70825,545191,1029170,2761926,0.12207947469404339
Southeast Asia,Solomon Islands,GDP (current US$),SLB,1566360686,4,46,273,0,9,223,1715,3237,8687,3.839768870045812e-4
Southeast Asia,Thailand,GDP (current US$),THA,496000000000,1262,14670,86308,79,2923,70541,543001,1025037,2750834,0.12158919567920787
Southeast Asia,Tonga,GDP (current US$),TON,500274898.1,1,15,87,0,3,71,548,1034,2775,1.2263714209370297e-4
Southeast Asia,Tuvalu,GDP (current US$),TUV,59065982.09,0,2,10,0,0,8,65,122,328,1.4479405754688705e-5
Southeast Asia,Vanuatu,GDP (current US$),VUT,1022219298,3,30,178,0,6,145,1119,2113,5669,2.5058633518464617e-4
Southeast Asia,Viet Nam,GDP (current US$),VNM,410000000000,1043,12126,71343,65,2416,58310,448852,847309,2273875,0.1005071980412807
USA,United States,GDP (current US$),USA,25700000000000,22972,226258,1663313,374027,1655227,6887643,32928000,43008000,64960000,1
