region,2030_Cost,2030_cost_20constraint,2030_cost_30constraint,2030_cost_40constraint,2030_cost_50constraint,2030_cost_60constraint,2030_cost_70constraint,2030_cost_80constraint,2030_cost_90constraint,2030_Impact,2030_Impact_20constraint,2030_Impact_30constraint,2030_Impact_40constraint,2030_Impact_50constraint,2030_Impact_60constraint,2030_Impact_70constraint,2030_Impact_80constraint,2030_Impact_90constraint,2030_Welfare,2030_Welfare_20constraint,2030_Welfare_30constraint,2030_Welfare_40constraint,2030_Welfare_50constraint,2030_Welfare_60constraint,2030_Welfare_70constraint,2030_Welfare_80constraint,2030_Welfare_90constraint,2050_Cost,2050_cost_20constraint,2050_cost_30constraint,2050_cost_40constraint,2050_cost_50constraint,2050_cost_60constraint,2050_cost_70constraint,2050_cost_80constraint,2050_cost_90constraint,2050_Impact,2050_Impact_20constraint,2050_Impact_30constraint,2050_Impact_40constraint,2050_Impact_50constraint,2050_Impact_60constraint,2050_Impact_70constraint,2050_Impact_80constraint,2050_Impact_90constraint,2050_Welfare,2050_Welfare_20constraint,2050_Welfare_30constraint,2050_Welfare_40constraint,2050_Welfare_50constraint,2050_Welfare_60constraint,2050_Welfare_70constraint,2050_Welfare_80constraint,2050_Welfare_90constraint,2100_Cost,2100_cost_20constraint,2100_cost_30constraint,2100_cost_40constraint,2100_cost_50constraint,2100_cost_60constraint,2100_cost_70constraint,2100_cost_80constraint,2100_cost_90constraint,2100_Impact,2100_Impact_20constraint,2100_Impact_30constraint,2100_Impact_40constraint,2100_Impact_50constraint,2100_Impact_60constraint,2100_Impact_70constraint,2100_Impact_80constraint,2100_Impact_90constraint,2100_Welfare,2100_Welfare_20constraint,2100_Welfare_30constraint,2100_Welfare_40constraint,2100_Welfare_50constraint,2100_Welfare_60constraint,2100_Welfare_70constraint,2100_Welfare_80constraint,2100_Welfare_90constraint
JapanCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6615,3.31733,6.42285,10.0526,14.9177,21.6425,24.4189,15.9087,21.4138,252.572,33.8638,67.9709,115.838,167.251,216.987,263.59,282.363,436.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.659,6.40911,10.978,12.5851,16.2938,24.3881,36.0197,51.5864,74.5685,1066.09,71.0802,132.966,200.761,255.579,313.923,398.459,582.194,814.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619.5,7.71704,20.2041,33.1227,77.4896,204.015,732.055,1080.26,1382.66,3005.84,113.255,309.671,546.038,943.582,1614.98,2909.41,2915.89,4110.12
MexicoCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9519,7.2106,13.9608,21.8505,32.4253,47.0425,53.0773,34.5795,46.5455,58.6658,7.86567,15.7879,26.9061,38.848,50.4003,61.2251,65.5855,101.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.53,13.931,23.862,27.3552,35.4165,53.0104,78.293,112.129,162.083,305.845,20.3919,38.146,57.5953,73.3217,90.06,114.312,167.023,233.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,3520.17,16.7739,43.9161,71.9962,168.433,443.451,1591.21,2348.07,3005.37,1229.66,46.3314,126.684,223.379,386.011,660.675,1190.21,1192.86,1681.41
Middle EastCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,581.614,72.3667,140.113,219.295,325.425,472.126,532.691,347.045,467.138,56.1957,7.53449,15.1231,25.7732,37.2123,48.2782,58.6472,62.824,97.0969,NA,NA,NA,NA,NA,NA,NA,NA,NA,2414,139.813,239.482,274.54,355.445,532.02,785.76,1125.34,1626.69,270.891,18.0614,33.7865,51.013,64.9421,79.7674,101.248,147.935,207.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,35328.9,168.345,440.748,722.564,1690.42,4450.54,15969.6,23565.5,30162.4,907.607,34.197,93.5046,164.875,284.913,487.641,878.492,880.447,1241.04
PakistanCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.0652,5.48276,10.6155,16.6146,24.6554,35.77,40.3586,26.2934,35.392,6.79289,0.910762,1.82807,3.11544,4.49819,5.83583,7.08922,7.59411,11.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.893,10.5928,18.144,20.8002,26.9298,40.3078,59.532,85.2602,123.244,49.5178,3.30154,6.17603,9.32496,11.8711,14.5811,18.5076,27.0418,37.8475,NA,NA,NA,NA,NA,NA,NA,NA,NA,2676.65,12.7545,33.3927,54.7441,128.072,337.189,1209.91,1785.41,2285.21,361.091,13.6053,37.2008,65.5954,113.352,194.008,349.508,350.285,493.748
RussiaCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58598,0.321758,0.622973,0.975034,1.44691,2.09918,2.36846,1.54304,2.077,72.8691,9.76999,19.6102,33.4202,48.2533,62.6025,76.048,81.4641,125.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7332,0.62164,1.06479,1.22067,1.58039,2.36548,3.49366,5.00353,7.23264,361.188,24.0818,45.0487,68.0174,86.5895,106.357,134.997,197.246,276.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.08,0.748501,1.95966,3.21268,7.51597,19.7881,71.0043,104.778,134.109,1005.2,37.8741,103.559,182.603,315.549,540.075,972.953,975.119,1374.49
South AfricaCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1365,2.00777,3.88735,6.08421,9.02873,13.0989,14.7792,9.62857,12.9605,42.6099,5.71296,11.467,19.5423,28.2159,36.6066,44.4688,47.6358,73.6229,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.975,3.87904,6.6443,7.61697,9.86162,14.7606,21.8005,31.222,45.1317,230.112,15.3424,28.7004,43.3336,55.1659,67.7594,86.0061,125.665,175.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,980.18,4.67064,12.2283,20.0471,46.8996,123.478,443.067,653.812,836.838,810.015,30.5199,83.4503,147.147,254.277,435.206,784.03,785.775,1107.6
South America_NorthernCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8417,4.45957,8.63441,13.514,20.0542,29.0946,32.8269,21.3865,28.7872,17.291,2.3183,4.65327,7.93021,11.4499,14.8548,18.0453,19.3305,29.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.762,8.61593,14.758,16.9185,21.9042,32.7855,48.4222,69.349,100.244,90.2971,6.02045,11.2622,17.0043,21.6474,26.5891,33.7492,49.3115,69.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,2177.13,10.3742,27.161,44.5278,104.171,274.263,984.12,1452.22,1858.75,351.332,13.2375,36.1953,63.8226,110.289,188.764,340.061,340.818,480.404
South America_SouthernCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3181,1.28382,2.48566,3.89039,5.77318,8.37571,9.45017,6.15673,8.28722,48.1677,6.45813,12.9627,22.0913,31.8963,41.3813,50.269,53.8491,83.2259,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8254,2.48034,4.24852,4.87046,6.30575,9.43826,13.9397,19.9641,28.8582,273.804,18.2556,34.1498,51.5615,65.6404,80.6251,102.336,149.525,209.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.75,2.98652,7.81906,12.8186,29.9887,78.9545,283.307,418.063,535.093,1132.07,42.6543,116.629,205.651,355.375,608.24,1095.75,1098.19,1547.97
South AsiaCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2312,2.2684,4.39196,6.87399,10.2007,14.7992,16.6977,10.8784,14.6428,9.88056,1.32474,2.65901,4.53155,6.54283,8.48848,10.3116,11.046,17.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.6689,4.38256,7.50678,8.60571,11.1417,16.6766,24.6303,35.2749,50.9901,69.9074,4.661,8.7191,13.1646,16.7593,20.5851,26.1284,38.1767,53.4317,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107.41,5.27693,13.8156,22.6494,52.9876,139.506,500.58,738.682,945.466,487.961,18.3855,50.2713,88.6425,153.179,262.173,472.307,473.359,667.228
South KoreaCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58598,0.321758,0.622973,0.975034,1.44691,2.09918,2.36846,1.54304,2.077,167.97,22.5207,45.2032,77.0363,111.228,144.304,175.297,187.782,290.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7332,0.62164,1.06479,1.22067,1.58039,2.36548,3.49366,5.00353,7.23264,830.151,55.3493,103.539,156.33,199.016,244.448,310.275,453.348,634.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.08,0.748501,1.95966,3.21268,7.51597,19.7881,71.0043,104.778,134.109,2371.49,89.3534,244.318,430.802,744.45,1274.16,2295.41,2300.52,3242.73
