"","Units","scenario","region","year","value"
"121","MTC","cost_20constraint","Australia_NZ",2045,130.10425834857
"122","MTC","cost_20constraint","Australia_NZ",2050,133.89662077912
"123","MTC","cost_20constraint","Australia_NZ",2055,138.84502283228
"124","MTC","cost_20constraint","Australia_NZ",2060,144.86794036454
"125","MTC","cost_20constraint","Australia_NZ",2065,149.687775131166
"126","MTC","cost_20constraint","Australia_NZ",2070,155.281717426116
"127","MTC","cost_20constraint","Australia_NZ",2075,160.84580702249
"128","MTC","cost_20constraint","Australia_NZ",2080,150.23933135518
"129","MTC","cost_20constraint","Australia_NZ",2085,149.474962986232
"130","MTC","cost_20constraint","Australia_NZ",2090,150.505693326273
"131","MTC","cost_20constraint","Australia_NZ",2095,152.386741623467
"132","MTC","cost_20constraint","Australia_NZ",2100,154.691366793737
"133","MTC","cost_20constraint","Brazil",1975,27.9973684
"134","MTC","cost_20constraint","Brazil",1990,60.664018178
"135","MTC","cost_20constraint","Brazil",2005,99.05170058
"136","MTC","cost_20constraint","Brazil",2010,117.184909853
"137","MTC","cost_20constraint","Brazil",2015,138.99048514
"138","MTC","cost_20constraint","Brazil",2020,136.854396407199
"139","MTC","cost_20constraint","Brazil",2025,141.533549511472
"140","MTC","cost_20constraint","Brazil",2030,147.196452620949
"141","MTC","cost_20constraint","Brazil",2035,150.644768654983
"142","MTC","cost_20constraint","Brazil",2040,151.5231228944
"143","MTC","cost_20constraint","Brazil",2045,152.244248581916
"144","MTC","cost_20constraint","Brazil",2050,152.20834506011
"145","MTC","cost_20constraint","Brazil",2055,156.557120499997
"146","MTC","cost_20constraint","Brazil",2060,164.168947933377
"147","MTC","cost_20constraint","Brazil",2065,171.203973050007
"148","MTC","cost_20constraint","Brazil",2070,177.915987620115
"149","MTC","cost_20constraint","Brazil",2075,184.29121216042
"150","MTC","cost_20constraint","Brazil",2080,191.058291094779
"151","MTC","cost_20constraint","Brazil",2085,196.735445466834
"152","MTC","cost_20constraint","Brazil",2090,201.321558455357
"153","MTC","cost_20constraint","Brazil",2095,205.353875955137
"154","MTC","cost_20constraint","Brazil",2100,208.658058142618
"155","MTC","cost_20constraint","Canada",1975,55.78328188
"156","MTC","cost_20constraint","Canada",1990,122.864493811
"157","MTC","cost_20constraint","Canada",2005,160.821821864
"158","MTC","cost_20constraint","Canada",2010,156.044560044
"159","MTC","cost_20constraint","Canada",2015,164.575249854
"160","MTC","cost_20constraint","Canada",2020,169.393999761
"161","MTC","cost_20constraint","Canada",2025,167.8224879966
"162","MTC","cost_20constraint","Canada",2030,167.50675738566
"163","MTC","cost_20constraint","Canada",2035,165.15661392282
"164","MTC","cost_20constraint","Canada",2040,163.45081919654
"165","MTC","cost_20constraint","Canada",2045,161.88000113261
"166","MTC","cost_20constraint","Canada",2050,159.87694665428
"167","MTC","cost_20constraint","Canada",2055,157.777613094087
"168","MTC","cost_20constraint","Canada",2060,158.433778292659
"169","MTC","cost_20constraint","Canada",2065,159.799004082316
"170","MTC","cost_20constraint","Canada",2070,166.084894730419
"171","MTC","cost_20constraint","Canada",2075,172.304119191019
"172","MTC","cost_20constraint","Canada",2080,174.393414432404
"173","MTC","cost_20constraint","Canada",2085,177.588398616972
"174","MTC","cost_20constraint","Canada",2090,180.287326783706
"175","MTC","cost_20constraint","Canada",2095,183.517554526851
"176","MTC","cost_20constraint","Canada",2100,185.863259146573
"177","MTC","cost_20constraint","Central America and Caribbean",1975,11.2206653675776
"178","MTC","cost_20constraint","Central America and Caribbean",1990,28.986022719773
"179","MTC","cost_20constraint","Central America and Caribbean",2005,47.151611215
"180","MTC","cost_20constraint","Central America and Caribbean",2010,53.5806111617
"181","MTC","cost_20constraint","Central America and Caribbean",2015,56.816395723
"182","MTC","cost_20constraint","Central America and Caribbean",2020,60.482849639
"183","MTC","cost_20constraint","Central America and Caribbean",2025,62.34390662522
"184","MTC","cost_20constraint","Central America and Caribbean",2030,64.79410630436
"185","MTC","cost_20constraint","Central America and Caribbean",2035,66.46548532036
"186","MTC","cost_20constraint","Central America and Caribbean",2040,67.47452727086
"187","MTC","cost_20constraint","Central America and Caribbean",2045,68.03422801459
"188","MTC","cost_20constraint","Central America and Caribbean",2050,69.22529870725
"189","MTC","cost_20constraint","Central America and Caribbean",2055,71.74502424225
"190","MTC","cost_20constraint","Central America and Caribbean",2060,74.97162626799
"191","MTC","cost_20constraint","Central America and Caribbean",2065,78.030453771808
"192","MTC","cost_20constraint","Central America and Caribbean",2070,81.8975523794103
"193","MTC","cost_20constraint","Central America and Caribbean",2075,85.3921077485826
"194","MTC","cost_20constraint","Central America and Caribbean",2080,89.0319293593813
"195","MTC","cost_20constraint","Central America and Caribbean",2085,92.7449681984329
"196","MTC","cost_20constraint","Central America and Caribbean",2090,96.297857159484
"197","MTC","cost_20constraint","Central America and Caribbean",2095,99.6377334231223
"198","MTC","cost_20constraint","Central America and Caribbean",2100,102.796343085808
"199","MTC","cost_20constraint","Central Asia",1975,66.12612387
"200","MTC","cost_20constraint","Central Asia",1990,157.64785545
"201","MTC","cost_20constraint","Central Asia",2005,111.47628445
"202","MTC","cost_20constraint","Central Asia",2010,131.1313088
"203","MTC","cost_20constraint","Central Asia",2015,147.704184276
"204","MTC","cost_20constraint","Central Asia",2020,159.794730091677
"205","MTC","cost_20constraint","Central Asia",2025,172.893531755486
"206","MTC","cost_20constraint","Central Asia",2030,183.608898297198
"207","MTC","cost_20constraint","Central Asia",2035,187.771516365754
"208","MTC","cost_20constraint","Central Asia",2040,188.830655298048
"209","MTC","cost_20constraint","Central Asia",2045,187.934873924772
"210","MTC","cost_20constraint","Central Asia",2050,187.40257553258
"211","MTC","cost_20constraint","Central Asia",2055,187.416893899638
"212","MTC","cost_20constraint","Central Asia",2060,188.852474734857
"213","MTC","cost_20constraint","Central Asia",2065,186.936540124899
"214","MTC","cost_20constraint","Central Asia",2070,187.395852928192
"215","MTC","cost_20constraint","Central Asia",2075,185.98655363535
"216","MTC","cost_20constraint","Central Asia",2080,181.613558031233
"217","MTC","cost_20constraint","Central Asia",2085,179.038010295947
"218","MTC","cost_20constraint","Central Asia",2090,176.094924308421
"219","MTC","cost_20constraint","Central Asia",2095,173.960979775088
"220","MTC","cost_20constraint","Central Asia",2100,173.083243975818
"221","MTC","cost_20constraint","China",1975,198.43354267
"222","MTC","cost_20constraint","China",1990,704.30862157896
"223","MTC","cost_20constraint","China",2005,1834.7188940693
"224","MTC","cost_20constraint","China",2010,2646.823843901
"225","MTC","cost_20constraint","China",2015,3044.986753132
"226","MTC","cost_20constraint","China",2020,3611.1707439206
"227","MTC","cost_20constraint","China",2025,3900.6520325236
"228","MTC","cost_20constraint","China",2030,4039.3702090895
"229","MTC","cost_20constraint","China",2035,4003.3588917652
"230","MTC","cost_20constraint","China",2040,3905.9801577206
"231","MTC","cost_20constraint","China",2045,3742.7990383092
"232","MTC","cost_20constraint","China",2050,3547.309289079
"233","MTC","cost_20constraint","China",2055,3345.2945090434
