MODEL,SCENARIO,ISO_A3,AGE,UNIT,Pop2020,Pop2030,Pop2050,Pop2100,AFF_ISO,REF2020,REF2030,REF2050,REF2100,Welfare2030,Welfare2050,Welfare2100,Cost2030,Cost2050,Cost2100,Impact2030,Impact2050,Impact2100,Countryname,2020COPDmortality,2030COPDmortality,2050COPDmortality,2100COPDmortality,2020IHDmortality,2030IHDmortality,2050IHDmortality,2100IHDmortality,2020LCmortality,2030LCmortality,2050LCmortality,2100LCmortality,2020LRImortality,2030LRImortality,2050LRImortality,2100LRImortality,2020Strokemortality,2030Strokemortality,2050Strokemortality,2100Strokemortality,COPD_theta,COPD_se,COPD_aerfa,COPD_u,COPD_v,IHD_theta,IHD_se,IHD_aerfa,IHD_u,IHD_v,LC_theta,LC_se,LC_aerfa,LC_u,LC_v,LRI_theta,LRI_se,LRI_aerfa,LRI_u,LRI_v,Stroke_theta,Stroke_se,Stroke_aerfa,Stroke_u,Stroke_v
IIASA-WiC POP,SSP2_v9_130115,BRA,0-4,million,16.270078587907523,16.1974007129292,15.168674096545017,12.449329843510611,BR,3.924026736111111,3.9377596875,3.960666180555555,3.9348277916666663,3.799697208333334,3.6514275625,3.4656762916666666,3.748997486111111,3.6588383472222223,3.5155456458333334,3.786908618055555,3.5788874861111113,3.3308157152777778,Brazil,0.00139310147034606,0.00102649582025499,7.2273685303667e-4,5.2372235727295e-4,0,0,0,0,0,0,0,0,0.0648399973664772,0.0323712468055194,0.0110179243645292,0.00126754882069805,0.00310904784861058,0.00278548178291807,0.0027292094236672,0.00375617997999558,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BRB,0-4,million,0.01450453482637712,0.01448492561139382,0.01347980938638733,0.01206828222748489,BB,4.019573,4.008083,4.007426,4.013627,3.984067,3.922445,3.892839,3.980336,3.922716,3.898434,3.981087,3.913087,3.872203,Barbados,3.2089968297879e-4,3.4732671569469e-4,5.1343949276607e-4,0.00114768827794769,0,0,0,0,0,0,0,0,0.0367746942245655,0.0272331519392728,0.0185861292432263,0.00636102819019511,0.00132013551555262,0.00170051354545761,0.00331152637799641,0.0131789799772965,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BRN,0-4,million,0.03639407387757552,0.03775238496004159,0.04243210377161505,0.04236807921117118,BN,2.711591,2.603592,2.478915,2.343444,2.466472,2.013618,1.79417,2.374349,2.001241,1.816856,2.317426,1.88454,1.662367,Brunei Darussalam,3.8547765800213e-4,3.2254253016504e-4,2.5174051134833e-4,2.4387362036869e-4,0,0,0,0,0,0,0,0,0.0319477907260713,0.0189040181811073,0.00708900681791523,0.00113424109086644,8.3080359923668e-4,8.1293685516707e-4,8.5760371534109e-4,0.00150080650184691,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BTN,0-4,million,0.08573332225877366,0.08936975307374387,0.10114844604185676,0.09567053130159388,BT,10.700464,10.971647,11.712387,11.643032,10.526146,9.508083,7.835541,9.631841,8.32708,7.10336,8.720037,6.365201,4.307987,Bhutan,0.0039803724318882,0.00224290827511161,0.00121622490974362,0.0013267908106294,0,0,0,0,0,0,0,0,0.132001782065486,0.06044851175786,0.0275204885798564,0.0276170516976804,0.00296978157361543,0.00231946444070694,0.00195095139872546,0.00401028898626901,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BWA,0-4,million,0.23975912709909253,0.24178108252952157,0.2509972598158419,0.23881187443264384,BW,3.7308854444444446,3.879125555555555,4.188504111111111,3.700588,3.610623444444444,3.3075491111111113,2.816026,3.3416503333333334,3.0350822222222225,2.777560888888889,3.6731268888888886,3.3560426666666667,2.766789,Botswana,0.00164640097985951,0.00137200081654959,8.5486204723474e-4,7.38769670449778e-5,0,0,0,0,0,0,0,0,0.20746104458455,0.15450342326263,0.0855536489672597,0.00760282682344391,0.00300554182873779,0.00299301873778471,0.00247957200870868,4.0073891049837e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,CAF,0-4,million,0.779638409473448,0.8296645103619809,0.8337713752733777,0.6389984287144487,CF,14.955581888888888,15.04176588888889,15.243473444444444,15.407365666666667,14.837855888888887,14.53689788888889,14.106866,14.757603,14.351204555555556,14.055001,14.797252,14.365985333333333,13.922952,Central African Republic,0.0104509111468736,0.0121401922216583,0.012738310879716,0.00806651919921103,0,0,0,0,0,0,0,0,1.53454914640471,1.1903377867086,0.871129264428457,0.293698870592237,0.0339378970630378,0.0596509770545537,0.111161350181662,0.183556583039871,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,CAN,0-4,million,1.911657437942184,1.706295265056856,1.8133341524699904,1.6104031276055393,CA,3.7256020350877193,3.5722538011695906,3.566127687134503,3.595613687134503,3.445705640350877,3.229136736842105,3.1189679970760236,3.438730125730994,3.3206835175438596,3.311487461988304,3.4920195058479533,3.3440215,3.2631482865497077,Canada,2.3016656177645e-4,2.0014483632735e-4,1.4010138542914e-4,5.00362090818386e-5,0,0,0,0,0,0,0,0,0.00620130428581606,0.00368202441970329,0.00116274455359051,9.68953794658759e-5,9.4798153885337e-4,9.4798153885337e-4,8.0973423110392e-4,4.3449153864112e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,CHE,0-4,million,0.35957874384695365,0.330702026936599,0.32317954765523577,0.27816990662418956,CH,10.483395,8.643568,8.208964,8.742233,7.334056,5.660486,8.367125,7.981748,6.651617,6.74598,8.151306,7.575514,7.361121,Switzerland,1.2652286698295e-4,9.48921502372157e-5,6.32614334914771e-5,1.58153583728693e-5,0,0,0,0,0,0,0,0,0.00413169801435754,0.00240215000834741,7.6868800267117e-4,0,1.3546231703326e-4,1.2793663275364e-4,1.1288526419439e-4,3.76284213981301e-5,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,CHL,0-4,million,1.326832098766615,1.326096015926873,1.2563161887110568,1.0787210481294247,CL,2.97847715,2.9352175,2.83488335,2.4871682,2.7607202,2.3439022,2.03089445,2.679389,2.3657748,2.07207275,2.8657885,2.6253547,2.1123195,Chile,0.00239405910166678,0.001964356185983,0.00153465327029922,0.00104356422380347,0,0,0,0,0,0,0,0,0.00934084178939719,0.00501455717115007,0.00186816835787944,1.9664930082941e-4,6.9358903196503e-4,6.5708434607213e-4,6.7533668901858e-4,7.8485074669727e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,CHN,0-4,million,75.19119418331496,69.49255599954121,60.59784170938666,46.53307815347385,CN,25.415476942105265,23.900823563157896,21.826955984210528,18.50029787368421,21.517586736842105,17.14376057894737,14.323159505263158,21.42205163157895,17.801460094736843,14.94936904736842,20.72699301052631,15.751244736842104,10.145736578947368,China,4.233816234797e-4,2.6739892009244e-4,1.5598270338726e-4,4.45664866820744e-5,0,0,0,0,0,0,0,0,0.0388484619600385,0.0207256062565962,0.0108929930557924,0.0030847413963306,0.0025040938547339,0.00187314107243875,0.00143936103461083,8.2812552676239e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
