Country Code,REF2020,REF2050,Efficiency2050,Equity2050,Country,Income,Pop2020,Pop2050
MKD,15.432732,13.073405,7.293093,6.407975,Macedonia,Upper_Middle,2.1267409096017884,2.3106937981867426
MLI,28.7126238,28.7080876,28.1761986,28.21548675,Mali,Low,20.34408930676557,35.910201167956856
MMR,12.3956,11.837978818181815,8.638554818181818,9.568887181818182,Myanmar,Lower_Middle,50.16341547652633,48.62827647130029
MNG,7.965225823529412,7.777826411764706,6.969076147058823,6.829755764705882,Mongolia,Upper_Middle,3.1423584030064573,3.764811921149165
MRT,33.36024647058824,33.346912823529415,33.02467876470588,33.04886323529412,Mauritania,Lower_Middle,4.26942723439638,6.271098329901496
MLT,7.620119,7.134252,6.387165,6.288415,Malta,High,0.4331843391487262,0.4430755169323411
MUS,2.519164,4.051239,1.873589,2.267972,Mauritius,Upper_Middle,1.3665424828965722,1.46938955223966
MDV,6.837361,7.229622,5.140682,5.79624,Maldives,Upper_Middle,0.362328105519282,0.4573884352682634
MWI,7.129478499999999,7.584476,6.69503,6.9464775,Malawi,Low,20.019576446314534,40.54103339800386
MEX,3.7434903142857143,3.659143314285714,2.5974073714285715,2.4967443142857144,Mexico,Upper_Middle,126.18275401562263,148.71903431749942
MYS,4.3170487500000005,4.3403685,3.430908,3.45844575,Malaysia,Upper_Middle,32.945113544536916,43.265018959584005
MOZ,4.559895,4.771423214285714,4.237238928571428,4.356644714285714,Mozambique,Low,28.638302987510297,42.293138489448275
NER,33.97711690476191,33.885504619047616,33.377260285714286,33.40047933333334,Niger,Low,21.816136409888777,50.94335866776267
NGA,33.774982538461536,34.292288538461534,31.730457769230767,32.02499676923077,Nigeria,Lower_Middle,201.5290703717919,371.6950000179584
NIC,3.799063,3.778218,3.6386985,3.6332935,Nicaragua,Lower_Middle,6.365539705680375,7.01366817184334
NLD,8.435007,6.820296,5.556595,4.677414,Netherlands,High,17.2635759422613,18.57511965703697
NOR,3.990037714285714,3.622287214285714,3.2185649285714284,3.1850259285714286,Norway,High,5.425887967698,7.063307025923137
NPL,36.5191925,37.243825,26.4293945,30.170507,Nepal,Lower_Middle,35.755926438585206,50.141832695609615
NZL,2.0951968333333335,2.1427561666666666,2.051328,2.0334623333333335,New Zealand,High,4.85152986196471,5.939593866369957
OMN,14.287293,13.4498942,11.8982902,12.1795862,Oman,High,3.382745648467284,5.011366288831095
PAN,2.710222,3.015285,2.856095,2.854307,Panama,High,4.021978975274154,5.108167195246702
PER,3.5547655714285713,3.4227828095238095,3.092678142857143,3.1244105714285713,Peru,Upper_Middle,31.438969186758047,33.86233123495731
PNG,2.08104125,1.970977125,1.8513645,1.844006125,Papua New Guinea,Lower_Middle,8.239850198243012,11.504402312055916
PHL,2.951273,2.8050105,2.2551781666666666,2.2697595,Philippines,Lower_Middle,109.70510970985896,149.04005805640716
PAK,26.604023823529413,29.81379294117647,23.148654235294117,25.704732411764702,Pakistan,Lower_Middle,207.3406365715973,292.5767471607474
POL,13.3841209,10.4196611,6.643255,5.3519284,Poland,High,38.40953204757204,35.162884108218954
PRT,5.2802245,4.528924999999999,4.0303615,3.819406,Portugal,High,10.909987403763743,11.30967216237619
PRY,5.318744875,5.317867,5.063583875,5.05230325,Paraguay,Upper_Middle,7.501793327082398,9.756792643370074
QAT,22.918014,19.358319,17.386771,17.236381,Qatar,High,2.5623701516984174,3.797317171550006
ROU,13.07732025,10.545748,6.68109525,5.816764,Romania,High,20.765849199529065,17.757120180607892
