ISO,Efficiency_eta_1,Efficiency_eta_1.5,Efficiency_eta_2,Efficiency_eta_2.5,Efficiency_eta_3,Equity_eta_1,Equity_eta_1.5,Equity_eta_2,Equity_eta_2.5,Equity_eta_3,PercentChange_eta_1,PercentChange_eta_1.5,PercentChange_eta_2,PercentChange_eta_2.5,PercentChange_eta_3,AQ_eta_1,AQ_eta_1.5,AQ_eta_2,AQ_eta_2.5,AQ_eta_3,PercentChange_eta_1_AQ,PercentChange_eta_1.5_AQ,PercentChange_eta_2_AQ,PercentChange_eta_2.5_AQ,PercentChange_eta_3_AQ
COD,641794.3885,792550.5926,1111704.274,1841728.728,3570974.897,1076301.896,1576031.767,2789940.374,5971440.767,14736131.68,67.7,98.9,151,224.2,312.7,1219337.911,1847999.987,3372863.881,7350854.29,18250768.01,90.0,133.2,203.4,299.1,411.1
COG,24453.10142,16595.06177,13693.17507,13511.97368,15053.27023,44691.32097,33582.49757,30922.73096,33794.63881,41380.91062,82.8,102.4,125.8,150.1,174.9,54835.89334,43031.9735,40976.59715,45691.35892,56597.07205,124.2,159.3,199.2,238.2,276.0
COL,-257569.5134,-196665.5534,-154930.5855,-126029.1727,-105842.1105,-122515.6837,-82638.15957,-55299.69177,-36291.24958,-22861.3948,52.4,58,64.3,71.2,78.4,-119170.3124,-78937.65687,-51196.51697,-31730.89604,-17781.31206,53.7,59.9,67.0,74.8,83.2
COM,-15660.70393,-19904.04501,-30319.05507,-54472.0567,-110773.2444,223.2801233,-165.4945455,-550.9907294,-1121.335588,-2455.986701,101.4,99.2,98.2,97.9,97.8,223.2801233,-165.4945455,-550.9907294,-1121.335588,-2455.986701,101.4,99.2,98.2,97.9,97.8
CRI,-32819.66534,-22081.24268,-15589.01227,-11514.06044,-8855.082294,4466.102539,3034.718477,2248.570659,1765.458344,1433.442029,113.6,113.7,114.4,115.3,116.2,4527.623915,3050.934242,2242.619148,1748.783301,1411.748579,113.8,113.8,114.4,115.2,115.9
CYP,17661.19033,10758.2265,6624.236958,4123.836544,2595.788528,6000.189045,3647.217259,2246.996639,1403.707765,889.3116375,-66,-66.1,-66.1,-66,-65.7,6160.431263,3765.584074,2334.445492,1468.325082,937.0660915,-65.1,-65.0,-64.8,-64.4,-63.9
CZE,327319.1206,170392.6472,89907.54666,48112.58467,26121.8952,377218.9448,199967.1632,107601.5813,58792.0822,32620.41101,15.2,17.4,19.7,22.2,24.9,377218.9448,199967.1632,107601.5813,58792.0822,32620.41101,15.2,17.4,19.7,22.2,24.9
DEU,497731.1984,197119.9539,79536.10027,32642.75414,13604.11762,-785353.0051,-214033.9402,-53008.86893,-10291.29179,-343.2995534,-257.8,-208.6,-166.6,-131.5,-102.5,-785353.0051,-214033.9402,-53008.86893,-10291.29179,-343.2995534,-257.8,-208.6,-166.6,-131.5,-102.5
DJI,-8785.56729,-6261.881445,-5313.071777,-5361.425747,-6216.743848,6897.391775,5272.140241,5066.71374,5802.644042,7417.534007,178.5,184.2,195.4,208.2,219.3,7131.901406,5507.341762,5379.218076,6293.67662,8249.146324,181.2,188.0,201.2,217.4,232.7
DNK,-25821.69557,-8856.404126,-3066.883108,-1072.553747,-378.8710782,-194639.0853,-65007.08442,-21889.33571,-7434.861591,-2548.535913,-653.8,-634,-613.7,-593.2,-572.7,-194639.0853,-65007.08442,-21889.33571,-7434.861591,-2548.535913,-653.8,-634.0,-613.7,-593.2,-572.7
DZA,524868.1624,314641.1121,156872.8523,30000.71989,-81812.08475,816213.7551,596653.0921,444343.3191,336859.3866,258924.1534,55.5,89.6,183.3,1022.8,416.5,813699.1341,593852.6194,441119.7945,333042.4331,254294.2172,55.0,88.7,181.2,1010.1,410.8
ECU,10990.39762,8865.610763,8416.374988,9246.699647,11142.39472,65121.23397,61653.84366,60966.53401,62529.61713,66050.98172,492.5,595.4,624.4,576.2,492.8,68260.19027,65557.39383,65828.46008,68594.43896,73627.59578,521.1,639.5,682.1,641.8,560.8
EGY,3630314.862,3030265.649,2574912.395,2232753.128,1980335.018,4322306.732,3751302.117,3358356.801,3117652.643,3014885.073,19.1,23.8,30.4,39.6,52.2,4366712.898,3808117.211,3433164.601,3218444.321,3153200.346,20.3,25.7,33.3,44.1,59.2
ESP,231123.7016,110600.2445,53937.28061,26839.11937,13637.3573,-827442.7023,-390260.5118,-186496.2003,-90369.07202,-44431.25437,-458,-452.9,-445.8,-436.7,-425.8,-827442.7023,-390260.5118,-186496.2003,-90369.07202,-44431.25437,-458.0,-452.9,-445.8,-436.7,-425.8
EST,19554.72275,8912.650993,4120.874691,1935.91234,925.4398487,11805.76772,5364.567415,2481.851276,1172.103571,566.456214,-39.6,-39.8,-39.8,-39.5,-38.8,11805.76772,5364.567415,2481.851276,1172.103571,566.456214,-39.6,-39.8,-39.8,-39.5,-38.8
ETH,-502462.6823,-820953.5124,-1475867.89,-2949301.791,-6478467.768,1364196.577,1670371.655,2496349.488,4545991.781,9602666.259,371.5,303.5,269.1,254.1,248.2,1453695.316,1795361.099,2701675.702,4941443.138,10470750.81,389.3,318.7,283.1,267.5,261.6
FIN,18049.39647,7926.055885,3503.793289,1558.766679,697.6722014,-127612.1946,-47336.45749,-17627.17371,-6589.834956,-2473.298283,-807,-697.2,-603.1,-522.8,-454.5,-127612.1946,-47336.45749,-17627.17371,-6589.834956,-2473.298283,-807.0,-697.2,-603.1,-522.8,-454.5
FJI,-12073.66453,-14473.73017,-18293.61835,-24322.76095,-33866.21019,-4647.341437,-5098.189315,-5856.790578,-7081.389223,-9038.59565,61.5,64.8,68,70.9,73.3,-4647.341437,-5098.189315,-5856.790578,-7081.389223,-9038.59565,61.5,64.8,68.0,70.9,73.3
FRA,171948.7453,78229.69445,36059.08884,16834.73052,7956.796733,-1506169.727,-626863.9488,-262277.9003,-110343.301,-46690.44857,-975.9,-901.3,-827.4,-755.5,-686.8,-1506169.727,-626863.9488,-262277.9003,-110343.301,-46690.44857,-975.9,-901.3,-827.4,-755.5,-686.8
GAB,-3911.969094,-1499.996483,-661.9554382,-346.081264,-211.4751808,3342.647648,1515.789457,865.1227505,546.7231086,360.4554183,185.4,201.1,230.7,258,270.4,4725.146666,2109.861218,1161.501188,713.4179887,462.8238638,220.8,240.7,275.5,306.1,318.9
GBR,315472.2626,138227.0864,61257.57455,27447.68184,12428.51867,-1268606.28,-493386.9007,-192040.5085,-74760.07985,-29083.84927,-502.1,-456.9,-413.5,-372.4,-334,-1268606.28,-493386.9007,-192040.5085,-74760.07985,-29083.84927,-502.1,-456.9,-413.5,-372.4,-334.0
GEO,36781.24888,27573.25326,22059.33672,18830.63941,17076.11025,75461.09972,57803.2212,46977.5246,40445.00604,36722.08709,105.2,109.6,113,114.8,115,75815.62487,58221.89344,47472.8844,41032.18155,37419.34889,106.1,111.2,115.2,117.9,119.1
GHA,120717.8321,82163.59977,65411.19686,61965.88749,66901.95774,275899.7063,234384.9058,242692.6321,298348.5661,412283.5879,128.5,185.3,271,381.5,516.3,306270.9506,263444.3495,274396.5278,337038.3216,463655.2436,153.7,220.6,319.5,443.9,593.0
GIN,33461.43585,24881.05284,22318.51781,23516.12478,26501.93002,87710.84241,84154.61703,100828.7872,143446.0223,227373.3083,162.1,238.2,351.8,510,757.9,92081.17387,88808.52569,106458.3503,151042.2723,238528.3214,175.2,256.9,377.0,542.3,800.0
GMB,2539.938113,-1586.110374,-9805.914545,-29286.0688,-79904.43899,14819.21686,17151.31867,24244.04935,41578.98789,81625.50269,483.4,1181.3,347.2,242,202.2,15084.32146,17527.92344,24837.6242,42621.79109,83656.60741,493.9,1205.1,353.3,245.5,204.7
GNB,7415.232134,7384.043132,8817.047649,12813.01653,21434.74098,15872.81897,20103.17606,31867.76748,60839.46972,130978.8361,114.1,172.3,261.4,374.8,511.1,16782.18251,21577.78107,34647.11482,66751.6792,144717.6527,126.3,192.2,293.0,421.0,575.2
GNQ,-4683.829582,-1850.395862,-841.1410456,-439.4724823,-257.7117237,902.6648525,409.8312901,239.6451366,150.4089611,94.63049088,119.3,122.1,128.5,134.2,136.7,984.0144698,431.216941,242.3500359,147.6293476,90.6435037,121.0,123.3,128.8,133.6,135.2
GRC,510223.5794,294974.1019,174898.0471,106380.8836,66341.28706,347755.3098,206622.5533,126047.5995,78878.22385,50552.84501,-31.8,-30,-27.9,-25.9,-23.8,347755.3098,206622.5533,126047.5995,78878.22385,50552.84501,-31.8,-30.0,-27.9,-25.9,-23.8
GTM,136874.2453,115483.8118,97120.12906,80980.08878,66293.92593,279659.4714,274161.8781,280744.1898,301640.2753,340518.4122,104.3,137.4,189.1,272.5,413.6,280292.9841,274879.4073,281604.7736,302728.5194,341958.2046,104.8,138.0,190.0,273.8,415.8
GUY,-22820.81004,-4250.629575,-838.0906581,-174.8819608,-38.4868457,-3048.492746,-516.2945078,-91.29261325,-16.96472887,-3.331676297,86.6,87.9,89.1,90.3,91.3,-3203.066091,-549.2094394,-98.62830198,-18.66588252,-3.739732239,86.0,87.1,88.2,89.3,90.3
HND,96998.89292,94314.67536,90881.4307,85415.348,75543.10629,160077.7096,177374.1551,205637.7548,251044.7477,323803.1984,65,88.1,126.3,193.9,328.6,161070.3886,178822.0691,207895.5583,254753.2985,330128.4505,66.1,89.6,128.8,198.3,337.0
HRV,310789.937,131531.4098,57729.29018,26375.3933,12573.36084,416820.7592,177088.9823,78067.04256,35836.36003,17165.24689,34.1,34.6,35.2,35.9,36.5,416820.7592,177088.9823,78067.04256,35836.36003,17165.24689,34.1,34.6,35.2,35.9,36.5
HTI,-63861.79933,-106307.0124,-186252.1977,-342909.8312,-660845.0607,4700.773312,11178.1949,27373.60424,66233.28943,157331.371,107.4,110.5,114.7,119.3,123.8,6416.221817,14615.79247,34627.2922,82167.25028,193417.0724,110.0,113.7,118.6,124.0,129.3
HUN,186872.9787,112209.4963,69017.63484,43458.48209,27982.60905,200196.8841,124253.7884,78918.03435,51227.85099,33931.58083,7.1,10.7,14.3,17.9,21.3,200196.8841,124253.7884,78918.03435,51227.85099,33931.58083,7.1,10.7,14.3,17.9,21.3
IDN,-276889.6925,-397778.6186,-481785.8296,-550306.7906,-616719.1303,530433.6138,389833.684,303038.1861,248410.3708,213008.354,291.6,198,162.9,145.1,134.5,557333.3323,423381.2626,345031.704,301165.5919,279514.4069,301.3,206.4,171.6,154.7,145.3
IND,127050491.4,126219475.3,132664248.5,148432788.4,177182806.7,117038496.3,115396849.4,120195983.1,133083976.9,157027909.6,-7.9,-8.6,-9.4,-10.3,-11.4,134054752.1,131712324.9,136099428.3,148642563.9,171910059.8,5.5,4.4,2.6,0.1,-3.0
IRL,10736.1733,3103.778698,907.5758462,268.5156859,80.39180521,-129391.9571,-36111.43716,-10141.89428,-2867.41274,-816.4162242,-1305.2,-1263.5,-1217.5,-1167.9,-1115.5,-129391.9571,-36111.43716,-10141.89428,-2867.41274,-816.4162242,-1305.2,-1263.5,-1217.5,-1167.9,-1115.5
IRN,2130989.768,1908625.057,1742103.208,1620249.644,1533027.795,2284856.845,2113428.741,2015834.92,1988481.76,2032156.276,7.2,10.7,15.7,22.7,32.6,2297194.483,2132570.2,2045597.242,2034856.967,2104568.071,7.8,11.7,17.4,25.6,37.3
IRQ,1388643.783,1409052.925,1429893.411,1449837.999,1466837.366,1597422.77,1665088.2,1747984.858,1849832.545,1975442.961,15,18.2,22.2,27.6,34.7,1600370.457,1669399.259,1754291.907,1859062.654,1988955.114,15.2,18.5,22.7,28.2,35.6
ISL,-914.6553871,-329.5679062,-119.5251809,-43.63752522,-16.03921657,-93430.55565,-33207.63364,-11888.76566,-4289.41654,-1560.360841,-10114.8,-9976.1,-9846.7,-9729.7,-9628.4,-93430.55565,-33207.63364,-11888.76566,-4289.41654,-1560.360841,-10114.8,-9976.1,-9846.7,-9729.7,-9628.4
ISR,72015.42599,26078.77791,9368.980073,3329.404264,1165.253436,107324.8652,41717.95229,16329.67545,6442.241451,2563.770607,49,60,74.3,93.5,120,108812.6457,42464.01962,16704.04744,6630.22152,2658.220222,51.1,62.8,78.3,99.1,128.1
ITA,673788.2997,300974.3897,137898.6811,64782.47768,31170.97426,-264629.4764,-77053.06412,-15949.9759,1511.129365,4874.017811,-139.3,-125.6,-111.6,-97.7,-84.4,-264629.4764,-77053.06412,-15949.9759,1511.129365,4874.017811,-139.3,-125.6,-111.6,-97.7,-84.4
JAM,-24929.39524,-19267.88697,-16005.57479,-14313.23831,-13721.97087,-9968.193214,-6084.25828,-3563.842155,-1855.978644,-629.3820468,60,68.4,77.7,87,95.4,-9630.457846,-5734.64913,-3174.916015,-1400.104304,-75.14203475,61.4,70.2,80.2,90.2,99.5
JOR,662076.0402,714615.7693,775013.4459,844586.8849,924791.7521,690997.5016,753805.0805,828775.4527,919148.1399,1029190.63,4.4,5.5,6.9,8.8,11.3,691450.5344,754516.0487,829891.6573,920901.2493,1031945.139,4.4,5.6,7.1,9.0,11.6
JPN,595830.1111,242075.4286,99742.67007,41668.65675,17641.78376,-1619041.217,-631383.4397,-248947.1653,-99260.8592,-40025.21114,-371.7,-360.8,-349.6,-338.2,-326.9,-1619041.217,-631383.4397,-248947.1653,-99260.8592,-40025.21114,-371.7,-360.8,-349.6,-338.2,-326.9
KAZ,-69078.57233,-53476.59318,-41050.83875,-31455.5992,-24161.79837,172560.046,104781.3629,65296.41604,41868.99847,27675.77984,349.8,295.9,259.1,233.1,214.5,172424.2876,104660.8477,65189.33783,41773.77661,27591.0298,349.6,295.7,258.8,232.8,214.2
KEN,-480783.6604,-476966.0947,-548936.786,-739532.33,-1142139.328,420726.1585,407112.8292,483542.0859,688706.1881,1111308.778,187.5,185.4,188.1,193.1,197.3,491137.1617,489434.8201,595026.5314,859888.8366,1400360.817,202.2,202.6,208.4,216.3,222.6
KGZ,152563.0567,195020.2849,247306.0483,308255.8081,371116.2358,220321.6922,303038.0631,425111.4473,610330.25,899998.2461,44.4,55.4,71.9,98,142.5,222671.0681,306623.2054,430681.9565,619138.5279,914161.0033,46.0,57.2,74.1,100.9,146.3
KHM,212380.2785,310127.1452,419381.9119,457918.4856,122144.5811,338528.2651,586966.9257,1055239.444,1979008.886,3890954.824,59.4,89.3,151.6,332.2,3085.5,339178.5786,589096.0524,1062060.68,2000572.166,3958557.329,59.7,90.0,153.2,336.9,3140.9
KOR,494113.7663,228802.4356,107694.8541,51525.23816,25051.32509,-115545.0731,-38027.59303,-10625.77791,-1663.174654,801.3808029,-123.4,-116.6,-109.9,-103.2,-96.8,-115545.0731,-38027.59303,-10625.77791,-1663.174654,801.3808029,-123.4,-116.6,-109.9,-103.2,-96.8
KWT,54337.80028,19272.42564,6812.124286,2388.694264,824.7430236,66530.65439,25023.02569,9546.612577,3698.87347,1456.880923,22.4,29.8,40.1,54.8,76.6,66791.8499,25163.96342,9622.692767,3739.959758,1479.078288,22.9,30.6,41.3,56.6,79.3
LAO,221558.8636,389589.0926,713009.281,1365968.997,2750384.841,285411.468,521353.789,996251.2966,1997964.546,4207628.313,28.8,33.8,39.7,46.3,53,288176.1172,529141.1289,1018277.027,2060512.582,4385941.764,30.1,35.8,42.8,50.8,59.5
LBN,203764.8222,188142.5706,177151.9186,170203.4113,166775.6376,209840.594,197139.2215,190233.181,189097.4957,194052.4125,3,4.8,7.4,11.1,16.4,210206.8483,197730.0786,191188.2979,190644.4769,196562.8369,3.2,5.1,7.9,12.0,17.9
LBR,262709.1081,387981.606,634840.7689,1187788.535,2567069.878,295161.0002,455311.3091,797868.7968,1633787.77,3893029.601,12.4,17.4,25.7,37.5,51.7,306943.4439,477589.4358,845741.4719,1749333.651,4198385.464,16.8,23.1,33.2,47.3,63.5
LBY,173182.1975,108760.2676,66571.39497,38276.62014,18647.87462,231195.634,158516.4005,111236.6323,80070.43928,59198.9455,33.5,45.7,67.1,109.2,217.5,231180.6644,158498.1051,111214.2252,80042.94287,59165.14242,33.5,45.7,67.1,109.1,217.3
LCA,-2223.680954,-1306.287991,-817.5447048,-544.8630816,-384.8915033,-1038.884104,-529.948449,-276.2171966,-146.5416695,-78.5269113,53.3,59.4,66.2,73.1,79.6,-1038.884104,-529.948449,-276.2171966,-146.5416695,-78.5269113,53.3,59.4,66.2,73.1,79.6
LKA,497785.782,435783.853,425957.3345,468300.6002,574314.9729,613357.4907,540725.1419,532555.9654,589532.8761,726359.4649,23.2,24.1,25,25.9,26.5,689581.3757,632732.3745,655481.0962,767734.817,1001194.668,38.5,45.2,53.9,63.9,74.3
LSO,117063.6492,158363.0151,265540.4295,535712.7534,1227903.981,134823.9036,182661.0342,304863.547,608465.1607,1374151.54,15.2,15.3,14.8,13.6,11.9,123287.3071,156729.9129,244801.9786,465654.2269,1027218.918,5.3,-1.0,-7.8,-13.1,-16.3
LTU,70002.40325,34898.61667,17889.63528,9435.615626,5119.648749,69923.60615,35650.20042,18718.01703,10120.41087,5629.630874,-0.1,2.2,4.6,7.3,10,69923.60615,35650.20042,18718.01703,10120.41087,5629.630874,-0.1,2.2,4.6,7.3,10.0
LUX,1450.191854,409.955095,116.8012058,33.52375778,9.687898209,-16753.29859,-4297.175103,-1106.419635,-286.0005669,-74.22933246,-1255.2,-1148.2,-1047.3,-953.1,-866.2,-16753.29859,-4297.175103,-1106.419635,-286.0005669,-74.22933246,-1255.2,-1148.2,-1047.3,-953.1,-866.2
