ISO_A3,year,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus
COD,2015,0.009363658,0.000720663,0.000524343,0.002559295,0.004869015,0.006698502,0.012277586,0.017784054,0.037297946,0.09266701,0.207297261,0.435810362,0.944223299,1.756134012,3.043432423,4.523677436,7.091782164,10.29273538,16.10837764,23.05855945
COG,2015,0.005414662,0.000552258,0.000431722,0.002470457,0.004574431,0.006147809,0.010580266,0.016431599,0.035198068,0.08333266,0.187234565,0.384524278,0.811609579,1.52600772,2.632767248,4.095306089,5.605302569,9.405717592,13.44074006,21.92886978
COL,2015,0.002349229,0.000701563,0.000536853,0.002580259,0.003265071,0.003841987,0.00638171,0.008233887,0.013962031,0.029892483,0.075337927,0.162770677,0.371794981,0.745104938,1.511546814,2.937392694,5.589505933,10.14847185,14.91340892,23.57611176
COM,2015,0.00355054,0.000755829,0.00047564,0.002848349,0.006096961,0.006148656,0.010369333,0.017857153,0.032681625,0.069592529,0.131088622,0.30537165,0.610479665,1.006396656,1.929683019,2.763305727,4.37621598,5.390459518,8.444332715,9.06690041
CPV,2015,0.000244815,4.36E-05,0.000175985,0.005060084,0.004012472,0.011938391,0.017785565,0.027713092,0.041156278,0.065123454,0.090936332,0.141785736,0.224915042,0.468986236,0.886418279,1.35185393,2.020892205,4.14759394,7.288019826,10.20405911
CRI,2015,0.001938339,0.000507614,0.000283547,0.001102191,0.002264001,0.002377278,0.003005613,0.006102679,0.009115328,0.015623925,0.032014266,0.071219548,0.197132748,0.372922179,0.900655973,1.973210877,3.927108151,7.274718491,10.46892803,15.13906275
CUB,2015,0.000762337,0.000305685,0.00028161,0.000826092,0.001268493,0.001331357,0.002611424,0.0059346,0.014296142,0.029835057,0.087789203,0.219363226,0.517183696,0.859391533,1.379468106,2.113261881,3.006964252,4.173212026,4.983852899,6.972688326
CYP,2015,0.000116087,9.54E-05,0.000189789,0.0012632,0.00118059,0.001435536,0.001367962,0.003336047,0.006311146,0.012574096,0.027899508,0.067370898,0.183510381,0.410487081,0.975043607,2.100971432,4.316433572,8.238917556,14.70434089,23.38831555
CZE,2015,0.000486151,0.000247118,0.000399777,0.000968768,0.00212679,0.002053036,0.00276108,0.005208297,0.011652604,0.03245691,0.0673351,0.182841443,0.405393808,0.700165134,1.081713208,1.52728019,2.516003685,3.506417537,4.510266494,6.143891774
DEU,2015,0.000572013,0.000234797,0.000403262,0.000837001,0.001244355,0.001338648,0.002053087,0.003829887,0.009403536,0.025616733,0.071599368,0.177798506,0.392641616,0.685025609,1.06970043,1.608303309,2.861714973,5.023201019,7.378019897,13.20826835
DJI,2015,0.003674655,0.000535374,0.000365201,0.002092115,0.004404575,0.00428469,0.007755997,0.012200291,0.025994709,0.058762337,0.114916885,0.265125322,0.558446177,0.867609734,1.639900086,2.387194011,3.735006134,4.694034219,7.296076901,7.709367191
DMA,2015,0.001878456,0.000294625,0.000218863,0.001128934,0.001979232,0.002622595,0.003581348,0.004957782,0.009961588,0.020088939,0.042870792,0.08466292,0.221424361,0.324795145,0.634822317,0.912619148,1.600116542,2.775529146,4.443166645,6.562472404
DNK,2015,0.000597764,0.000325044,0.000538335,0.000801729,0.000780803,0.000680991,0.001530051,0.003414675,0.009860532,0.030653697,0.093955042,0.258129336,0.537616502,0.885210509,1.798166984,3.567738183,6.851634865,9.816768959,11.66584512,13.98824061
DZA,2015,0.003492123,0.001906077,0.001458332,0.003743867,0.004572259,0.005603389,0.008673971,0.012054525,0.018068295,0.030793666,0.066600202,0.110149806,0.21440352,0.386204024,0.643824051,1.15508554,2.229801172,3.882548878,6.356894775,9.513012366
ECU,2015,0.002742336,0.000761472,0.000924658,0.002972062,0.004189074,0.005516194,0.005713015,0.008138639,0.010313078,0.020292753,0.033648617,0.056426114,0.133828522,0.247027153,0.566077029,1.194744823,2.726809447,5.699413707,13.20401455,26.77797182
EGY,2015,0.011333784,0.002675085,0.002140356,0.007064139,0.008845896,0.011543976,0.017051726,0.026177255,0.041372767,0.070383892,0.152224727,0.25937187,0.500567014,0.875246429,1.452220986,2.17875517,3.194511018,4.21866983,5.268525061,7.039662811
ERI,2015,0.005153731,0.000663237,0.00038403,0.002710299,0.006703147,0.007404773,0.014192865,0.022627024,0.048766398,0.105349021,0.183347011,0.413837281,0.759351018,1.647139189,2.195575037,3.087964976,4.586174865,5.299214821,7.495603448,8.923294049
ESP,2015,0.000300999,0.000158786,0.000262081,0.001027393,0.001238013,0.001608763,0.002280815,0.003686707,0.00758506,0.019124169,0.045368013,0.09801657,0.219608625,0.420967112,0.863263605,1.831713419,3.7923619,8.163598241,15.17393437,29.64805338
EST,2015,0.000395614,8.54E-05,0.000293453,0.000865246,0.000922098,0.001357256,0.001799109,0.002066458,0.005891707,0.017124754,0.039658835,0.092453919,0.202866505,0.401503562,0.548676683,0.84622663,1.35498563,2.114796404,2.752870728,3.895837303
ETH,2015,0.004130777,0.000677193,0.000444052,0.002229811,0.004460181,0.005178205,0.009088451,0.015977325,0.028873795,0.06274802,0.11943019,0.289719127,0.578176116,1.003376764,1.922487182,2.752759291,4.344965391,5.446981923,8.622193362,9.87494202
FIN,2015,0.000203315,6.68E-05,0.000147857,0.000378282,0.000549184,0.000624998,0.000984855,0.001711955,0.003737728,0.009723175,0.03134409,0.080702395,0.207923584,0.404920991,0.66240452,1.109925441,1.671678607,2.382093376,2.927591187,3.856455012
FJI,2015,0.002655388,0.000778701,0.001031483,0.006598438,0.01259014,0.012856082,0.026451,0.026973703,0.046380302,0.088491633,0.156090097,0.247607726,0.526611506,0.933559121,1.472167964,2.47231701,3.411980022,5.544589521,10.4570947,18.28023171
FRA,2015,0.000216932,0.000101709,0.000160682,0.000426916,0.000622109,0.000754194,0.001030427,0.001877934,0.005101677,0.011955803,0.02869528,0.065534602,0.142687682,0.242045042,0.409104384,0.708836793,1.418558832,3.012808522,6.193889273,14.07916102
FSM,2015,0.00211981,0.002578559,0.002453275,0.017300012,0.032798578,0.052541841,0.095595314,0.107863468,0.176554689,0.295824079,0.446783376,0.649433864,1.226802132,2.204975433,3.44551252,5.494808545,8.253303588,11.5736907,21.06702184,39.3417596
