ISO_A3,year,AGE,COPDmortality,IHDmortality,LCmortality,LRImortality,Strokemortality,Diabetesmortality
PRK,2015,0-4,0.00100374863619866,0,0,0.196562767295557,0.0101838504482838,0
PRT,2015,0-4,8.2362496898699e-4,0,0,0.00979716178604585,7.7526861909467e-4,0
PRY,2015,0-4,9.7454760451087e-4,0,0,0.0306279430127828,9.1622228457493e-4,0
PSE,2015,0-4,0.00112945617987719,0,0,0.0395858923996608,0.00464738591059894,0
QAT,2015,0-4,0.00151021184248714,0,0,0.0122013985901822,0.00405525458748884,0
ROU,2015,0-4,3.2743535192517e-4,0,0,0.095059670824871,3.7229928321022e-4,0
RUS,2015,0-4,5.4964816630251e-4,0,0,0.0309844961229041,9.1171486566944e-4,0
RWA,2015,0-4,0.00715780589137756,0,0,0.713872347239736,0.00369699418374816,0
SAU,2015,0-4,2.72597340812e-4,0,0,0.0125721074842785,6.6223574765002e-4,0
SDN,2015,0-4,0.00849950500114694,0,0,0.368461596405672,0.0380249479171721,0
SEN,2015,0-4,0.00125311615625357,0,0,0.557082121924847,0.0113592698598655,0
SGP,2015,0-4,4.4635685492783e-4,0,0,0.0397371404965366,0.00150395709730417,0
SLB,2015,0-4,0.00218038066367436,0,0,0.373388813141749,0.0132056782159429,0
SLE,2015,0-4,0.00279592493128752,0,0,1.41190747141463,0.0354375477806858,0
SLV,2015,0-4,6.1563582777135e-4,0,0,0.0643393903282301,0.00251688680245605,0
SOM,2015,0-4,0.0061938065584688,0,0,1.2542881922872,0.00907308936607601,0
SRB,2015,0-4,2.5013682821391e-4,0,0,0.00803531467927256,0.0010184930686768,0
SSD,2015,0-4,0.00691314514202997,0,0,1.97342071891998,0.00925883828073022,0
STP,2015,0-4,9.7676007550399e-4,0,0,0.172735915415951,0.00564434571986589,0
SUR,2015,0-4,0.0025823436003129,0,0,0.0993608033002401,0.00543488698930357,0
SVK,2015,0-4,9.6690529534353e-4,0,0,0.0310835852856195,6.6881746865661e-4,0
SVN,2015,0-4,1.2049453641676e-4,0,0,0.00403055554175955,5.085206151409e-4,0
SWE,2015,0-4,4.8388434550733e-4,0,0,0.00514695764716185,4.2114864905843e-4,0
SWZ,2015,0-4,0.0021975973801523,0,0,0.321600003565091,0.00486002782282222,0
SYC,2015,0-4,0.00101803006417642,0,0,0.12006338693033,5.6999567768346e-4,0
SYR,2015,0-4,0.00384290669293204,0,0,0.0782832657825605,0.0134629874997565,0
TCD,2015,0-4,0.0030423364624025,0,0,2.43033317747769,0.0351510936233689,0
TGO,2015,0-4,0.00142384993206081,0,0,0.700813012981118,0.0155731346248978,0
THA,2015,0-4,0.00202348326250606,0,0,0.0642900188873759,0.00339084280695862,0
TJK,2015,0-4,0.00425878189858767,0,0,1.05106458815724,0.00150095185894344,0
TKM,2015,0-4,0.00150918266878785,0,0,0.697965965567045,0.00283599084732622,0
TLS,2015,0-4,0.00505385979740791,0,0,0.559989485328818,0.0090308816180948,0
TON,2015,0-4,0.00257203300078837,0,0,0.171820564320061,0.0180697691964471,0
TTO,2015,0-4,0.00210073502453322,0,0,0.0484622565375057,0.00363972209107739,0
TUN,2015,0-4,0.00144300306285996,0,0,0.0231867753590985,0.00268010604364591,0
TUR,2015,0-4,7.0505923831815e-4,0,0,0.0482465637428999,0.00543022931734276,0
TWN,2015,0-4,5.9352519539835e-4,0,0,0.0219111876915937,0.00118292177541899,0
TZA,2015,0-4,0.00697345311571398,0,0,0.958139741801736,0.00850354646953783,0
UGA,2015,0-4,0.00491765723506103,0,0,0.479878277757923,0.00483606468179965,0
UKR,2015,0-4,4.7787698337538e-4,0,0,0.0315249470438394,4.7487721045796e-4,0
URY,2015,0-4,0.00111491485429294,0,0,0.0317367598708524,0.00125685162368318,0
USA,2015,0-4,5.348282675541e-4,0,0,0.011020979436616,0.00201786113993325,0
UZB,2015,0-4,6.6490582221513e-5,0,0,0.610600140994148,2.4580464496609e-4,0
VCT,2015,0-4,8.3933941620426e-4,0,0,0.065036867175097,0.0021586333483955,0
VEN,2015,0-4,0.00128974902575865,0,0,0.0805417022009027,0.00199277040408125,0
VNM,2015,0-4,8.9277518321125e-4,0,0,0.0912828793122896,0.00291563091755789,0
VUT,2015,0-4,0.00430014075593438,0,0,0.345270548593769,0.0340314183469687,0
WSM,2015,0-4,0.00175413352969221,0,0,0.138029011668504,0.0129331043047949,0
YEM,2015,0-4,0.0040136199375665,0,0,0.179787331790118,0.0157069557896879,0
ZAF,2015,0-4,0.00263737466023247,0,0,0.289219185744141,0.00338479825082182,0
ZMB,2015,0-4,0.00447007614922321,0,0,0.741659553126817,0.00506942390842926,0
ZWE,2015,0-4,0.00126319706698003,0,0,0.608852261216277,0.0114426460925263,0
AFG,2020,0-4,0.002194932002531,0,0,0.361741980823811,0.0040276390568204,0
AGO,2020,0-4,0.00605169549039257,0,0,0.627516242397792,0.011626628757942,0
ALB,2020,0-4,0.00173900145506945,0,0,0.0788913148102628,0.0145326807754999,0
ARE,2020,0-4,0.0017626230317281,0,0,0.00796718200911827,0.00449147062133677,0
ARG,2020,0-4,0.0015844579444077,0,0,0.0259818697417904,0.00308326013755613,0
ARM,2020,0-4,3.1017811777354e-4,0,0,0.0804559184075452,2.3781474852784e-4,0
AUS,2020,0-4,2.5518885087339e-4,0,0,0.00526540330510456,3.2946129013246e-4,0
AUT,2020,0-4,6.3045006359897e-4,0,0,0.00231706334300508,5.7642901723937e-4,0
AZE,2020,0-4,0.00186931144120082,0,0,0.476197125148192,2.7233693751062e-4,0
BDI,2020,0-4,0.00743188900832561,0,0,0.826750912703874,0.0137354142205884,0
BEL,2020,0-4,3.6225978752197e-4,0,0,0.00584337084549285,0.00115425456645733,0
BEN,2020,0-4,0.00184244678930655,0,0,0.925053252473265,0.0252878652491563,0
BFA,2020,0-4,0.00295735159905797,0,0,1.12331878514493,0.0303354978499829,0
BGD,2020,0-4,0.00195248733346598,0,0,0.208101287541797,0.00444498934736213,0
BGR,2020,0-4,2.8655107606671e-4,0,0,0.0296975267498048,0.00213559705384365,0
BHR,2020,0-4,4.0905641305102e-4,0,0,0.0110434570709092,0.00447101232661272,0
BHS,2020,0-4,8.2516355810819e-4,0,0,0.0534121951945798,0.00167097076407516,0
BIH,2020,0-4,6.0761954317553e-4,0,0,0.00755354273506823,0.00320457483715031,0
BLR,2020,0-4,1.3562610355422e-4,0,0,0.0119387701216582,1.2706939592775e-4,0
BLZ,2020,0-4,0.00253556896579475,0,0,0.0767711864545505,0.00215891924385451,0
BOL,2020,0-4,0.00727834827886933,0,0,0.250075293221914,0.00850144977201826,0
